seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaof3ba00153n6lcr8af6bi,2185,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 642.0, 'height': 681.0, 'width': 249.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2186,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 639.925925925926, 'height': 681.0, 'width': 251.81481481481478}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2187,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 637.8518518518518, 'height': 681.0, 'width': 254.62962962962968}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2188,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 635.7777777777778, 'height': 681.0, 'width': 257.44444444444434}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2189,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 633.7037037037037, 'height': 681.0, 'width': 260.25925925925924}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2190,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 631.6296296296297, 'height': 681.0, 'width': 263.074074074074}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2191,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 629.5555555555555, 'height': 681.0, 'width': 265.8888888888889}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2192,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 627.4814814814815, 'height': 681.0, 'width': 268.7037037037037}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2193,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 625.4074074074074, 'height': 681.0, 'width': 271.5185185185186}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2194,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 623.3333333333334, 'height': 681.0, 'width': 274.33333333333326}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2195,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 621.2592592592592, 'height': 681.0, 'width': 277.14814814814815}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2196,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 619.1851851851852, 'height': 681.0, 'width': 279.96296296296293}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2197,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 617.1111111111111, 'height': 681.0, 'width': 282.7777777777778}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2198,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 615.0370370370371, 'height': 681.0, 'width': 285.5925925925926}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2199,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 612.9629629629629, 'height': 681.0, 'width': 288.4074074074074}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2200,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 610.8888888888889, 'height': 681.0, 'width': 291.2222222222222}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2201,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 608.8148148148148, 'height': 681.0, 'width': 294.03703703703707}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2202,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 606.7407407407408, 'height': 681.0, 'width': 296.85185185185185}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2203,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 604.6666666666666, 'height': 681.0, 'width': 299.66666666666674}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2204,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 602.5925925925926, 'height': 681.0, 'width': 302.4814814814814}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2205,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 600.5185185185185, 'height': 681.0, 'width': 305.2962962962963}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2206,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 598.4444444444445, 'height': 681.0, 'width': 308.1111111111111}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2207,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 596.3703703703703, 'height': 681.0, 'width': 310.925925925926}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2208,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 594.2962962962963, 'height': 681.0, 'width': 313.74074074074076}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2209,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 592.2222222222222, 'height': 681.0, 'width': 316.55555555555566}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2210,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 590.1481481481482, 'height': 681.0, 'width': 319.3703703703703}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2211,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 588.0740740740741, 'height': 681.0, 'width': 322.1851851851851}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2212,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 586.0, 'height': 681.0, 'width': 325.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2213,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 585.4121621621622, 'height': 681.0, 'width': 325.37837837837833}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
cljaof3ba00153n6lcr8af6bi,2214,back,,Abnormal Gait,abnormal,"{'top': 39.0, 'left': 584.8243243243244, 'height': 681.0, 'width': 325.75675675675666}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",TgkxrrhnvlM,https://www.youtube.com/watch?v=TgkxrrhnvlM
