seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaommx0001m3n6lfb2cuqgv,350,front,,Abnormal Gait,abnormal,"{'top': 138.0, 'left': 91.0, 'height': 83.0, 'width': 28.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaommx0001m3n6lfb2cuqgv,351,front,,Abnormal Gait,abnormal,"{'top': 137.8235294117647, 'left': 90.73529411764706, 'height': 84.35294117647061, 'width': 28.5}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaommx0001m3n6lfb2cuqgv,352,front,,Abnormal Gait,abnormal,"{'top': 137.64705882352942, 'left': 90.47058823529412, 'height': 85.70588235294116, 'width': 29.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaommx0001m3n6lfb2cuqgv,353,front,,Abnormal Gait,abnormal,"{'top': 137.47058823529412, 'left': 90.20588235294117, 'height': 87.05882352941177, 'width': 29.5}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaommx0001m3n6lfb2cuqgv,354,front,,Abnormal Gait,abnormal,"{'top': 137.2941176470588, 'left': 89.94117647058823, 'height': 88.41176470588238, 'width': 30.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaommx0001m3n6lfb2cuqgv,355,front,,Abnormal Gait,abnormal,"{'top': 137.11764705882354, 'left': 89.67647058823529, 'height': 89.76470588235293, 'width': 30.5}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaommx0001m3n6lfb2cuqgv,356,front,,Abnormal Gait,abnormal,"{'top': 136.94117647058823, 'left': 89.41176470588235, 'height': 91.11764705882354, 'width': 31.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaommx0001m3n6lfb2cuqgv,357,front,,Abnormal Gait,abnormal,"{'top': 136.76470588235293, 'left': 89.1470588235294, 'height': 92.47058823529414, 'width': 31.5}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaommx0001m3n6lfb2cuqgv,358,front,,Abnormal Gait,abnormal,"{'top': 136.58823529411765, 'left': 88.88235294117646, 'height': 93.8235294117647, 'width': 32.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaommx0001m3n6lfb2cuqgv,359,front,,Abnormal Gait,abnormal,"{'top': 136.41176470588235, 'left': 88.61764705882354, 'height': 95.1764705882353, 'width': 32.5}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
