seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaovpji002o3n6lgugwrc6j,2424,back,,Abnormal Gait,abnormal,"{'top': 145.0, 'left': 77.0, 'height': 209.0, 'width': 70.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaovpji002o3n6lgugwrc6j,2425,back,,Abnormal Gait,abnormal,"{'top': 145.07692307692307, 'left': 77.08653846153847, 'height': 207.8076923076923, 'width': 69.5673076923077}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaovpji002o3n6lgugwrc6j,2426,back,,Abnormal Gait,abnormal,"{'top': 145.15384615384616, 'left': 77.17307692307692, 'height': 206.6153846153846, 'width': 69.1346153846154}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaovpji002o3n6lgugwrc6j,2427,back,,Abnormal Gait,abnormal,"{'top': 145.23076923076923, 'left': 77.25961538461539, 'height': 205.4230769230769, 'width': 68.70192307692307}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaovpji002o3n6lgugwrc6j,2428,back,,Abnormal Gait,abnormal,"{'top': 145.30769230769232, 'left': 77.34615384615384, 'height': 204.23076923076923, 'width': 68.26923076923077}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaovpji002o3n6lgugwrc6j,2429,back,,Abnormal Gait,abnormal,"{'top': 145.3846153846154, 'left': 77.4326923076923, 'height': 203.03846153846152, 'width': 67.83653846153847}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaovpji002o3n6lgugwrc6j,2430,back,,Abnormal Gait,abnormal,"{'top': 145.46153846153845, 'left': 77.51923076923077, 'height': 201.84615384615387, 'width': 67.40384615384616}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaovpji002o3n6lgugwrc6j,2431,back,,Abnormal Gait,abnormal,"{'top': 145.53846153846155, 'left': 77.60576923076923, 'height': 200.65384615384613, 'width': 66.97115384615384}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaovpji002o3n6lgugwrc6j,2432,back,,Abnormal Gait,abnormal,"{'top': 145.6153846153846, 'left': 77.6923076923077, 'height': 199.46153846153848, 'width': 66.53846153846153}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaovpji002o3n6lgugwrc6j,2433,back,,Abnormal Gait,abnormal,"{'top': 145.69230769230768, 'left': 77.77884615384616, 'height': 198.26923076923077, 'width': 66.10576923076923}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaovpji002o3n6lgugwrc6j,2434,back,,Abnormal Gait,abnormal,"{'top': 145.76923076923077, 'left': 77.86538461538461, 'height': 197.0769230769231, 'width': 65.67307692307693}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
