seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaozwlh003k3n6lzk9rxqbs,3709,back,,Abnormal Gait,abnormal,"{'top': 86.0, 'left': 67.0, 'height': 274.0, 'width': 91.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3710,back,,Abnormal Gait,abnormal,"{'top': 85.92307692307692, 'left': 66.86538461538461, 'height': 272.53846153846155, 'width': 90.67307692307693}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3711,back,,Abnormal Gait,abnormal,"{'top': 85.84615384615384, 'left': 66.73076923076923, 'height': 271.0769230769231, 'width': 90.34615384615384}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3712,back,,Abnormal Gait,abnormal,"{'top': 85.76923076923077, 'left': 66.59615384615384, 'height': 269.6153846153846, 'width': 90.01923076923077}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3713,back,,Abnormal Gait,abnormal,"{'top': 85.6923076923077, 'left': 66.46153846153847, 'height': 268.1538461538462, 'width': 89.6923076923077}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3714,back,,Abnormal Gait,abnormal,"{'top': 85.61538461538461, 'left': 66.32692307692308, 'height': 266.69230769230774, 'width': 89.3653846153846}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3715,back,,Abnormal Gait,abnormal,"{'top': 85.53846153846153, 'left': 66.1923076923077, 'height': 265.2307692307692, 'width': 89.03846153846153}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3716,back,,Abnormal Gait,abnormal,"{'top': 85.46153846153847, 'left': 66.0576923076923, 'height': 263.7692307692308, 'width': 88.71153846153847}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3717,back,,Abnormal Gait,abnormal,"{'top': 85.38461538461539, 'left': 65.92307692307692, 'height': 262.30769230769226, 'width': 88.3846153846154}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3718,back,,Abnormal Gait,abnormal,"{'top': 85.3076923076923, 'left': 65.78846153846153, 'height': 260.8461538461538, 'width': 88.0576923076923}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3719,back,,Abnormal Gait,abnormal,"{'top': 85.23076923076923, 'left': 65.65384615384616, 'height': 259.3846153846154, 'width': 87.73076923076923}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3720,back,,Abnormal Gait,abnormal,"{'top': 85.15384615384616, 'left': 65.51923076923077, 'height': 257.9230769230769, 'width': 87.40384615384616}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3721,back,,Abnormal Gait,abnormal,"{'top': 85.07692307692308, 'left': 65.38461538461539, 'height': 256.46153846153845, 'width': 87.07692307692307}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3722,back,,Abnormal Gait,abnormal,"{'top': 85.0, 'left': 65.25, 'height': 255.0, 'width': 86.75}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3723,back,,Abnormal Gait,abnormal,"{'top': 84.92307692307692, 'left': 65.11538461538461, 'height': 253.53846153846155, 'width': 86.42307692307693}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3724,back,,Abnormal Gait,abnormal,"{'top': 84.84615384615384, 'left': 64.98076923076923, 'height': 252.07692307692307, 'width': 86.09615384615384}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3725,back,,Abnormal Gait,abnormal,"{'top': 84.76923076923077, 'left': 64.84615384615384, 'height': 250.61538461538458, 'width': 85.76923076923077}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3726,back,,Abnormal Gait,abnormal,"{'top': 84.6923076923077, 'left': 64.71153846153847, 'height': 249.1538461538462, 'width': 85.4423076923077}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3727,back,,Abnormal Gait,abnormal,"{'top': 84.61538461538461, 'left': 64.57692307692308, 'height': 247.6923076923077, 'width': 85.1153846153846}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3728,back,,Abnormal Gait,abnormal,"{'top': 84.53846153846153, 'left': 64.4423076923077, 'height': 246.23076923076923, 'width': 84.78846153846153}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3729,back,,Abnormal Gait,abnormal,"{'top': 84.46153846153847, 'left': 64.3076923076923, 'height': 244.76923076923077, 'width': 84.46153846153847}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3730,back,,Abnormal Gait,abnormal,"{'top': 84.38461538461539, 'left': 64.17307692307692, 'height': 243.3076923076923, 'width': 84.1346153846154}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3731,back,,Abnormal Gait,abnormal,"{'top': 84.3076923076923, 'left': 64.03846153846153, 'height': 241.8461538461538, 'width': 83.8076923076923}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3732,back,,Abnormal Gait,abnormal,"{'top': 84.23076923076923, 'left': 63.90384615384615, 'height': 240.38461538461542, 'width': 83.48076923076923}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljaozwlh003k3n6lzk9rxqbs,3733,back,,Abnormal Gait,abnormal,"{'top': 84.15384615384616, 'left': 63.769230769230774, 'height': 238.92307692307693, 'width': 83.15384615384616}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
