seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljap548n004n3n6l909fckn8,5002,front,,Abnormal Gait,abnormal,"{'top': 58.0, 'left': 81.0, 'height': 137.0, 'width': 41.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5003,front,,Abnormal Gait,abnormal,"{'top': 57.708333333333336, 'left': 80.375, 'height': 143.41666666666666, 'width': 42.58333333333333}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5004,front,,Abnormal Gait,abnormal,"{'top': 57.416666666666664, 'left': 79.75, 'height': 149.83333333333334, 'width': 44.16666666666667}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5005,front,,Abnormal Gait,abnormal,"{'top': 57.125, 'left': 79.125, 'height': 156.25, 'width': 45.75}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5006,front,,Abnormal Gait,abnormal,"{'top': 56.833333333333336, 'left': 78.5, 'height': 162.66666666666666, 'width': 47.33333333333333}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5007,front,,Abnormal Gait,abnormal,"{'top': 56.541666666666664, 'left': 77.875, 'height': 169.08333333333334, 'width': 48.91666666666667}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5008,front,,Abnormal Gait,abnormal,"{'top': 56.25, 'left': 77.25, 'height': 175.5, 'width': 50.5}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5009,front,,Abnormal Gait,abnormal,"{'top': 55.958333333333336, 'left': 76.625, 'height': 181.91666666666666, 'width': 52.08333333333334}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5010,front,,Abnormal Gait,abnormal,"{'top': 55.666666666666664, 'left': 76.0, 'height': 188.33333333333334, 'width': 53.66666666666666}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5011,front,,Abnormal Gait,abnormal,"{'top': 55.375, 'left': 75.375, 'height': 194.75, 'width': 55.25}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5012,front,,Abnormal Gait,abnormal,"{'top': 55.083333333333336, 'left': 74.75, 'height': 201.16666666666666, 'width': 56.83333333333334}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5013,front,,Abnormal Gait,abnormal,"{'top': 54.791666666666664, 'left': 74.125, 'height': 207.58333333333334, 'width': 58.41666666666666}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5014,front,,Abnormal Gait,abnormal,"{'top': 54.5, 'left': 73.5, 'height': 214.0, 'width': 60.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5015,front,,Abnormal Gait,abnormal,"{'top': 54.208333333333336, 'left': 72.875, 'height': 220.41666666666666, 'width': 61.58333333333334}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5016,front,,Abnormal Gait,abnormal,"{'top': 53.916666666666664, 'left': 72.25, 'height': 226.83333333333334, 'width': 63.16666666666666}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5017,front,,Abnormal Gait,abnormal,"{'top': 53.625, 'left': 71.625, 'height': 233.25, 'width': 64.75}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5018,front,,Abnormal Gait,abnormal,"{'top': 53.333333333333336, 'left': 71.0, 'height': 239.66666666666666, 'width': 66.33333333333334}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5019,front,,Abnormal Gait,abnormal,"{'top': 53.041666666666664, 'left': 70.375, 'height': 246.08333333333334, 'width': 67.91666666666666}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5020,front,,Abnormal Gait,abnormal,"{'top': 52.75, 'left': 69.75, 'height': 252.5, 'width': 69.5}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5021,front,,Abnormal Gait,abnormal,"{'top': 52.458333333333336, 'left': 69.125, 'height': 258.9166666666667, 'width': 71.08333333333334}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5022,front,,Abnormal Gait,abnormal,"{'top': 52.166666666666664, 'left': 68.5, 'height': 265.3333333333333, 'width': 72.66666666666666}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5023,front,,Abnormal Gait,abnormal,"{'top': 51.875, 'left': 67.875, 'height': 271.75, 'width': 74.25}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5024,front,,Abnormal Gait,abnormal,"{'top': 51.583333333333336, 'left': 67.25, 'height': 278.1666666666667, 'width': 75.83333333333334}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5025,front,,Abnormal Gait,abnormal,"{'top': 51.291666666666664, 'left': 66.625, 'height': 284.5833333333333, 'width': 77.41666666666666}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5026,front,,Abnormal Gait,abnormal,"{'top': 51.0, 'left': 66.0, 'height': 291.0, 'width': 79.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5027,front,,Abnormal Gait,abnormal,"{'top': 50.375, 'left': 66.25, 'height': 283.6875, 'width': 78.375}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5028,front,,Abnormal Gait,abnormal,"{'top': 49.75, 'left': 66.5, 'height': 276.375, 'width': 77.75}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5029,front,,Abnormal Gait,abnormal,"{'top': 49.125, 'left': 66.75, 'height': 269.0625, 'width': 77.125}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5030,front,,Abnormal Gait,abnormal,"{'top': 48.5, 'left': 67.0, 'height': 261.75, 'width': 76.5}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5031,front,,Abnormal Gait,abnormal,"{'top': 47.875, 'left': 67.25, 'height': 254.4375, 'width': 75.875}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5032,front,,Abnormal Gait,abnormal,"{'top': 47.25, 'left': 67.5, 'height': 247.125, 'width': 75.25}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5033,front,,Abnormal Gait,abnormal,"{'top': 46.625, 'left': 67.75, 'height': 239.8125, 'width': 74.625}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5034,front,,Abnormal Gait,abnormal,"{'top': 46.0, 'left': 68.0, 'height': 232.5, 'width': 74.0}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5035,front,,Abnormal Gait,abnormal,"{'top': 45.375, 'left': 68.25, 'height': 225.1875, 'width': 73.375}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
cljap548n004n3n6l909fckn8,5036,front,,Abnormal Gait,abnormal,"{'top': 44.75, 'left': 68.5, 'height': 217.875, 'width': 72.75}","{'height': 360, 'width': 204, 'mime_type': 'video/mp4'}",5SBtTbfELUU,https://www.youtube.com/watch?v=5SBtTbfELUU
