seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaqfh2m009g3n6l1e9tgem1,2304,left side,,Abnormal Gait,abnormal,"{'top': 37.0, 'left': 518.0, 'height': 660.0, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2305,left side,,Abnormal Gait,abnormal,"{'top': 36.41935483870968, 'left': 518.0, 'height': 661.3225806451613, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2306,left side,,Abnormal Gait,abnormal,"{'top': 35.83870967741935, 'left': 518.0, 'height': 662.6451612903226, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2307,left side,,Abnormal Gait,abnormal,"{'top': 35.25806451612903, 'left': 518.0, 'height': 663.9677419354839, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2308,left side,,Abnormal Gait,abnormal,"{'top': 34.67741935483871, 'left': 518.0, 'height': 665.2903225806452, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2309,left side,,Abnormal Gait,abnormal,"{'top': 34.096774193548384, 'left': 518.0, 'height': 666.6129032258065, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2310,left side,,Abnormal Gait,abnormal,"{'top': 33.516129032258064, 'left': 518.0, 'height': 667.9354838709678, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2311,left side,,Abnormal Gait,abnormal,"{'top': 32.935483870967744, 'left': 518.0, 'height': 669.258064516129, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2312,left side,,Abnormal Gait,abnormal,"{'top': 32.35483870967742, 'left': 518.0, 'height': 670.5806451612902, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2313,left side,,Abnormal Gait,abnormal,"{'top': 31.774193548387096, 'left': 518.0, 'height': 671.9032258064516, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2314,left side,,Abnormal Gait,abnormal,"{'top': 31.193548387096776, 'left': 518.0, 'height': 673.2258064516128, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqfh2m009g3n6l1e9tgem1,2315,left side,,Abnormal Gait,abnormal,"{'top': 30.612903225806452, 'left': 518.0, 'height': 674.5483870967741, 'width': 225.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
