seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaqjnck009t3n6l3yakz4ot,4635,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 682.0, 'width': 236.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4636,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 682.4, 'width': 236.97500000000002}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4637,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 682.8, 'width': 237.95000000000005}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4638,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 683.2, 'width': 238.92499999999995}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4639,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 683.6, 'width': 239.89999999999998}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4640,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 684.0, 'width': 240.875}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4641,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 684.4, 'width': 241.85000000000002}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4642,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 684.8, 'width': 242.82500000000005}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4643,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 685.2, 'width': 243.79999999999995}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4644,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 685.6, 'width': 244.77499999999998}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4645,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 686.0, 'width': 245.75}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4646,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 686.4, 'width': 246.72500000000002}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4647,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 686.8, 'width': 247.70000000000005}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4648,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 687.2, 'width': 248.67499999999995}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4649,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 687.6, 'width': 249.64999999999998}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4650,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 688.0, 'width': 250.625}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4651,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 688.4, 'width': 251.60000000000002}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4652,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 688.8, 'width': 252.57500000000005}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4653,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 689.2, 'width': 253.54999999999995}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4654,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 689.6, 'width': 254.52499999999998}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4655,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 690.0, 'width': 255.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
cljaqjnck009t3n6l3yakz4ot,4656,front,,Abnormal Gait,abnormal,"{'top': 22.0, 'left': 507.0, 'height': 690.4, 'width': 256.475}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",pu5Vwf1CBO0,https://www.youtube.com/watch?v=pu5Vwf1CBO0
