seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaqwk3x00ar3n6l1dok7jvh,492,right side,,Abnormal Gait,abnormal,"{'top': 91.0, 'left': 159.0, 'height': 585.0, 'width': 235.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqwk3x00ar3n6l1dok7jvh,493,right side,,Abnormal Gait,abnormal,"{'top': 90.23076923076923, 'left': 163.46153846153845, 'height': 587.0, 'width': 238.11538461538464}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqwk3x00ar3n6l1dok7jvh,494,right side,,Abnormal Gait,abnormal,"{'top': 89.46153846153847, 'left': 167.92307692307693, 'height': 589.0, 'width': 241.2307692307692}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqwk3x00ar3n6l1dok7jvh,495,right side,,Abnormal Gait,abnormal,"{'top': 88.6923076923077, 'left': 172.3846153846154, 'height': 591.0, 'width': 244.34615384615384}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqwk3x00ar3n6l1dok7jvh,496,right side,,Abnormal Gait,abnormal,"{'top': 87.92307692307692, 'left': 176.84615384615384, 'height': 593.0, 'width': 247.46153846153848}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqwk3x00ar3n6l1dok7jvh,497,right side,,Abnormal Gait,abnormal,"{'top': 87.15384615384616, 'left': 181.30769230769232, 'height': 595.0, 'width': 250.57692307692304}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqwk3x00ar3n6l1dok7jvh,498,right side,,Abnormal Gait,abnormal,"{'top': 86.38461538461539, 'left': 185.76923076923077, 'height': 597.0, 'width': 253.69230769230768}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqwk3x00ar3n6l1dok7jvh,499,right side,,Abnormal Gait,abnormal,"{'top': 85.61538461538461, 'left': 190.23076923076923, 'height': 599.0, 'width': 256.8076923076923}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqwk3x00ar3n6l1dok7jvh,500,right side,,Abnormal Gait,abnormal,"{'top': 84.84615384615384, 'left': 194.69230769230768, 'height': 601.0, 'width': 259.92307692307696}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqwk3x00ar3n6l1dok7jvh,501,right side,,Abnormal Gait,abnormal,"{'top': 84.07692307692308, 'left': 199.15384615384616, 'height': 603.0, 'width': 263.03846153846155}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
