seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaqxf7400av3n6lk29hlkyg,704,left side,,Abnormal Gait,abnormal,"{'top': 103.0, 'left': 976.0, 'height': 464.0, 'width': 168.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqxf7400av3n6lk29hlkyg,705,left side,,Abnormal Gait,abnormal,"{'top': 100.83333333333333, 'left': 963.3333333333334, 'height': 473.1666666666667, 'width': 181.16666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqxf7400av3n6lk29hlkyg,706,left side,,Abnormal Gait,abnormal,"{'top': 98.66666666666667, 'left': 950.6666666666666, 'height': 482.3333333333333, 'width': 194.33333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqxf7400av3n6lk29hlkyg,707,left side,,Abnormal Gait,abnormal,"{'top': 96.5, 'left': 938.0, 'height': 491.5, 'width': 207.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqxf7400av3n6lk29hlkyg,708,left side,,Abnormal Gait,abnormal,"{'top': 94.33333333333333, 'left': 925.3333333333334, 'height': 500.6666666666667, 'width': 220.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqxf7400av3n6lk29hlkyg,709,left side,,Abnormal Gait,abnormal,"{'top': 92.16666666666667, 'left': 912.6666666666666, 'height': 509.8333333333333, 'width': 233.83333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqxf7400av3n6lk29hlkyg,710,left side,,Abnormal Gait,abnormal,"{'top': 90.0, 'left': 900.0, 'height': 519.0, 'width': 247.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqxf7400av3n6lk29hlkyg,711,left side,,Abnormal Gait,abnormal,"{'top': 89.48387096774194, 'left': 899.4354838709677, 'height': 520.5645161290322, 'width': 246.95161290322596}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqxf7400av3n6lk29hlkyg,712,left side,,Abnormal Gait,abnormal,"{'top': 88.96774193548387, 'left': 898.8709677419355, 'height': 522.1290322580645, 'width': 246.9032258064516}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljaqxf7400av3n6lk29hlkyg,713,left side,,Abnormal Gait,abnormal,"{'top': 88.45161290322581, 'left': 898.3064516129032, 'height': 523.6935483870967, 'width': 246.85483870967755}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
