seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljar1lys00bf3n6lnn8jrx8y,1699,left side,,Abnormal Gait,abnormal,"{'top': 74.0, 'left': 1044.0, 'height': 490.0, 'width': 196.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1700,left side,,Abnormal Gait,abnormal,"{'top': 73.33333333333333, 'left': 1038.6666666666667, 'height': 513.6666666666666, 'width': 210.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1701,left side,,Abnormal Gait,abnormal,"{'top': 72.66666666666667, 'left': 1033.3333333333333, 'height': 537.3333333333334, 'width': 224.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1702,left side,,Abnormal Gait,abnormal,"{'top': 72.0, 'left': 1028.0, 'height': 561.0, 'width': 238.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1703,left side,,Abnormal Gait,abnormal,"{'top': 71.25, 'left': 1024.5, 'height': 562.0, 'width': 245.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1704,left side,,Abnormal Gait,abnormal,"{'top': 70.5, 'left': 1021.0, 'height': 563.0, 'width': 252.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1705,left side,,Abnormal Gait,abnormal,"{'top': 69.75, 'left': 1017.5, 'height': 564.0, 'width': 259.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1706,left side,,Abnormal Gait,abnormal,"{'top': 69.0, 'left': 1014.0, 'height': 565.0, 'width': 266.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1707,left side,,Abnormal Gait,abnormal,"{'top': 68.25, 'left': 1010.5, 'height': 566.5, 'width': 269.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1708,left side,,Abnormal Gait,abnormal,"{'top': 67.5, 'left': 1007.0, 'height': 568.0, 'width': 273.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1709,left side,,Abnormal Gait,abnormal,"{'top': 66.75, 'left': 1003.5, 'height': 569.5, 'width': 276.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1710,left side,,Abnormal Gait,abnormal,"{'top': 66.0, 'left': 1000.0, 'height': 571.0, 'width': 280.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1711,left side,,Abnormal Gait,abnormal,"{'top': 65.375, 'left': 996.5, 'height': 573.0, 'width': 283.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1712,left side,,Abnormal Gait,abnormal,"{'top': 64.75, 'left': 993.0, 'height': 575.0, 'width': 287.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1713,left side,,Abnormal Gait,abnormal,"{'top': 64.125, 'left': 989.5, 'height': 577.0, 'width': 290.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1714,left side,,Abnormal Gait,abnormal,"{'top': 63.5, 'left': 986.0, 'height': 579.0, 'width': 294.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1715,left side,,Abnormal Gait,abnormal,"{'top': 62.875, 'left': 982.5, 'height': 581.0, 'width': 297.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1716,left side,,Abnormal Gait,abnormal,"{'top': 62.25, 'left': 979.0, 'height': 583.0, 'width': 301.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar1lys00bf3n6lnn8jrx8y,1717,left side,,Abnormal Gait,abnormal,"{'top': 61.625, 'left': 975.5, 'height': 585.0, 'width': 304.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
