seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljar2lr200bj3n6lnesaud88,1906,right side,,Abnormal Gait,abnormal,"{'top': 24.0, 'left': 292.0, 'height': 604.0, 'width': 190.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar2lr200bj3n6lnesaud88,1907,right side,,Abnormal Gait,abnormal,"{'top': 23.555555555555557, 'left': 289.6666666666667, 'height': 610.3333333333334, 'width': 199.4444444444444}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar2lr200bj3n6lnesaud88,1908,right side,,Abnormal Gait,abnormal,"{'top': 23.11111111111111, 'left': 287.3333333333333, 'height': 616.6666666666667, 'width': 208.8888888888889}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar2lr200bj3n6lnesaud88,1909,right side,,Abnormal Gait,abnormal,"{'top': 22.666666666666668, 'left': 285.0, 'height': 623.0, 'width': 218.33333333333331}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar2lr200bj3n6lnesaud88,1910,right side,,Abnormal Gait,abnormal,"{'top': 22.22222222222222, 'left': 282.6666666666667, 'height': 629.3333333333334, 'width': 227.77777777777777}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar2lr200bj3n6lnesaud88,1911,right side,,Abnormal Gait,abnormal,"{'top': 21.77777777777778, 'left': 280.3333333333333, 'height': 635.6666666666666, 'width': 237.22222222222223}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar2lr200bj3n6lnesaud88,1912,right side,,Abnormal Gait,abnormal,"{'top': 21.333333333333332, 'left': 278.0, 'height': 642.0, 'width': 246.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar2lr200bj3n6lnesaud88,1913,right side,,Abnormal Gait,abnormal,"{'top': 20.88888888888889, 'left': 275.6666666666667, 'height': 648.3333333333333, 'width': 256.11111111111114}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar2lr200bj3n6lnesaud88,1914,right side,,Abnormal Gait,abnormal,"{'top': 20.444444444444443, 'left': 273.3333333333333, 'height': 654.6666666666666, 'width': 265.5555555555556}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar2lr200bj3n6lnesaud88,1915,right side,,Abnormal Gait,abnormal,"{'top': 20.0, 'left': 271.0, 'height': 661.0, 'width': 275.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
