seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljar5lo000bv3n6l8s10hc7v,2609,front,,Abnormal Gait,abnormal,"{'top': 112.0, 'left': 186.0, 'height': 562.0, 'width': 266.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2610,front,,Abnormal Gait,abnormal,"{'top': 107.75, 'left': 186.0, 'height': 566.25, 'width': 268.75}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2611,front,,Abnormal Gait,abnormal,"{'top': 103.5, 'left': 186.0, 'height': 570.5, 'width': 271.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2612,front,,Abnormal Gait,abnormal,"{'top': 99.25, 'left': 186.0, 'height': 574.75, 'width': 274.25}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2613,front,,Abnormal Gait,abnormal,"{'top': 95.0, 'left': 186.0, 'height': 579.0, 'width': 277.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2614,front,,Abnormal Gait,abnormal,"{'top': 90.75, 'left': 186.0, 'height': 583.25, 'width': 279.75}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2615,front,,Abnormal Gait,abnormal,"{'top': 86.5, 'left': 186.0, 'height': 587.5, 'width': 282.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2616,front,,Abnormal Gait,abnormal,"{'top': 82.25, 'left': 186.0, 'height': 591.75, 'width': 285.25}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2617,front,,Abnormal Gait,abnormal,"{'top': 78.0, 'left': 186.0, 'height': 596.0, 'width': 288.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2618,front,,Abnormal Gait,abnormal,"{'top': 71.66666666666667, 'left': 178.33333333333334, 'height': 602.3333333333334, 'width': 295.33333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2619,front,,Abnormal Gait,abnormal,"{'top': 65.33333333333333, 'left': 170.66666666666666, 'height': 608.6666666666666, 'width': 302.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2620,front,,Abnormal Gait,abnormal,"{'top': 59.0, 'left': 163.0, 'height': 615.0, 'width': 310.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2621,front,,Abnormal Gait,abnormal,"{'top': 52.66666666666667, 'left': 155.33333333333334, 'height': 621.3333333333334, 'width': 317.33333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2622,front,,Abnormal Gait,abnormal,"{'top': 46.33333333333333, 'left': 147.66666666666666, 'height': 627.6666666666666, 'width': 324.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2623,front,,Abnormal Gait,abnormal,"{'top': 40.0, 'left': 140.0, 'height': 634.0, 'width': 332.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2624,front,,Abnormal Gait,abnormal,"{'top': 39.23809523809524, 'left': 140.76190476190476, 'height': 634.7619047619048, 'width': 331.95238095238096}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2625,front,,Abnormal Gait,abnormal,"{'top': 38.476190476190474, 'left': 141.52380952380952, 'height': 635.5238095238095, 'width': 331.9047619047619}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2626,front,,Abnormal Gait,abnormal,"{'top': 37.714285714285715, 'left': 142.28571428571428, 'height': 636.2857142857143, 'width': 331.8571428571429}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2627,front,,Abnormal Gait,abnormal,"{'top': 36.95238095238095, 'left': 143.04761904761904, 'height': 637.047619047619, 'width': 331.8095238095238}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
cljar5lo000bv3n6l8s10hc7v,2628,front,,Abnormal Gait,abnormal,"{'top': 36.19047619047619, 'left': 143.8095238095238, 'height': 637.8095238095239, 'width': 331.76190476190476}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",Q98WKpwIpkE,https://www.youtube.com/watch?v=Q98WKpwIpkE
