seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljawo31o00173n6lk7goqxm1,1529,front,,Abnormal Gait,abnormal,"{'top': 35.0, 'left': 529.0, 'height': 682.0, 'width': 263.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k
cljawo31o00173n6lk7goqxm1,1530,front,,Abnormal Gait,abnormal,"{'top': 35.36363636363637, 'left': 529.0, 'height': 681.0, 'width': 265.6363636363636}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k
cljawo31o00173n6lk7goqxm1,1531,front,,Abnormal Gait,abnormal,"{'top': 35.72727272727273, 'left': 529.0, 'height': 680.0, 'width': 268.27272727272725}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k
cljawo31o00173n6lk7goqxm1,1532,front,,Abnormal Gait,abnormal,"{'top': 36.09090909090909, 'left': 529.0, 'height': 679.0, 'width': 270.9090909090909}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k
cljawo31o00173n6lk7goqxm1,1533,front,,Abnormal Gait,abnormal,"{'top': 36.45454545454545, 'left': 529.0, 'height': 678.0, 'width': 273.5454545454545}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k
cljawo31o00173n6lk7goqxm1,1534,front,,Abnormal Gait,abnormal,"{'top': 36.81818181818182, 'left': 529.0, 'height': 677.0, 'width': 276.18181818181813}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k
cljawo31o00173n6lk7goqxm1,1535,front,,Abnormal Gait,abnormal,"{'top': 37.18181818181818, 'left': 529.0, 'height': 676.0, 'width': 278.81818181818187}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k
cljawo31o00173n6lk7goqxm1,1536,front,,Abnormal Gait,abnormal,"{'top': 37.54545454545455, 'left': 529.0, 'height': 675.0, 'width': 281.4545454545455}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k
cljawo31o00173n6lk7goqxm1,1537,front,,Abnormal Gait,abnormal,"{'top': 37.90909090909091, 'left': 529.0, 'height': 674.0, 'width': 284.0909090909091}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k
cljawo31o00173n6lk7goqxm1,1538,front,,Abnormal Gait,abnormal,"{'top': 38.27272727272727, 'left': 529.0, 'height': 673.0, 'width': 286.72727272727275}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",uV6dPE2sz7k,https://www.youtube.com/watch?v=uV6dPE2sz7k
