seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljax80ln00323n6lqpmv3bw3,251,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 272.0, 'width': 98.0}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,252,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 274.3333333333333, 'width': 98.66666666666666}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,253,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 276.6666666666667, 'width': 99.33333333333334}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,254,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 279.0, 'width': 100.0}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,255,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 281.3333333333333, 'width': 100.66666666666666}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,256,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 283.6666666666667, 'width': 101.33333333333334}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,257,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 286.0, 'width': 102.0}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,258,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 287.3333333333333, 'width': 102.0}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,259,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 288.6666666666667, 'width': 102.0}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,260,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 290.0, 'width': 102.0}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,261,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 291.3333333333333, 'width': 102.0}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,262,right side,Right initial contact,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 292.6666666666667, 'width': 102.0}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,263,right side,,Abnormal Gait,abnormal,"{'top': 43.0, 'left': 126.0, 'height': 294.0, 'width': 102.0}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
cljax80ln00323n6lqpmv3bw3,264,right side,,Abnormal Gait,abnormal,"{'top': 42.857142857142854, 'left': 126.04761904761905, 'height': 294.33333333333337, 'width': 102.76190476190474}","{'height': 350, 'width': 432, 'mime_type': 'video/mp4'}",hziyFfJTrQo,https://www.youtube.com/watch?v=hziyFfJTrQo
