seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo15f2p001s3n6lvgsiqoki,1,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 255.0, 'height': 478.0, 'width': 161.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,2,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 251.25, 'height': 478.0, 'width': 167.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,3,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 247.5, 'height': 478.0, 'width': 174.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,4,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 243.75, 'height': 478.0, 'width': 180.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,5,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 240.0, 'height': 478.0, 'width': 187.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,6,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 240.5, 'height': 478.0, 'width': 195.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,7,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 241.0, 'height': 478.0, 'width': 203.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,8,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 231.5, 'height': 478.0, 'width': 222.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,9,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 222.0, 'height': 478.0, 'width': 242.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,10,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 220.0, 'height': 478.0, 'width': 246.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,11,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 218.0, 'height': 478.0, 'width': 251.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,12,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 216.0, 'height': 478.0, 'width': 256.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,13,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 214.0, 'height': 478.0, 'width': 261.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,14,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 198.5, 'height': 478.0, 'width': 276.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
cljo15f2p001s3n6lvgsiqoki,15,right side,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 183.0, 'height': 478.0, 'width': 292.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0CdEPm-VYwA,https://www.youtube.com/watch?v=0CdEPm-VYwA
