seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo1s7p1004d3n6lbqi16ndk,221,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 138.0, 'height': 202.0, 'width': 64.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,222,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 135.66666666666666, 'height': 202.0, 'width': 67.33333333333334}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,223,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 133.33333333333334, 'height': 202.0, 'width': 70.66666666666666}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,224,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 131.0, 'height': 202.0, 'width': 74.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,225,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 128.5, 'height': 202.0, 'width': 75.75}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,226,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 126.0, 'height': 202.0, 'width': 77.5}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,227,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 123.5, 'height': 202.0, 'width': 79.25}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,228,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 121.0, 'height': 202.0, 'width': 81.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,229,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 118.5, 'height': 202.0, 'width': 82.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,230,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 116.0, 'height': 202.0, 'width': 83.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,231,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 113.5, 'height': 202.0, 'width': 84.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,232,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 111.0, 'height': 202.0, 'width': 85.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,233,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 108.5, 'height': 202.0, 'width': 91.5}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,234,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 106.0, 'height': 202.0, 'width': 98.0}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,235,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 103.4, 'height': 202.0, 'width': 99.6}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
cljo1s7p1004d3n6lbqi16ndk,236,left side,,Abnormal Gait,abnormal,"{'top': 2.0, 'left': 100.8, 'height': 202.0, 'width': 101.2}","{'height': 204, 'width': 270, 'mime_type': 'video/mp4'}",1MdBrKk7IL8,https://www.youtube.com/watch?v=1MdBrKk7IL8
