seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo6oiiv000g3n6lr7nwhvl8,263,front,,Abnormal Gait,abnormal,"{'top': 107.0, 'left': 428.0, 'height': 329.0, 'width': 126.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,264,front,,Abnormal Gait,abnormal,"{'top': 104.76923076923077, 'left': 424.2307692307692, 'height': 334.6153846153846, 'width': 128.23076923076923}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,265,front,,Abnormal Gait,abnormal,"{'top': 102.53846153846153, 'left': 420.46153846153845, 'height': 340.2307692307692, 'width': 130.46153846153845}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,266,front,,Abnormal Gait,abnormal,"{'top': 100.3076923076923, 'left': 416.6923076923077, 'height': 345.8461538461538, 'width': 132.69230769230768}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,267,front,,Abnormal Gait,abnormal,"{'top': 98.07692307692308, 'left': 412.9230769230769, 'height': 351.46153846153845, 'width': 134.9230769230769}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,268,front,,Abnormal Gait,abnormal,"{'top': 95.84615384615384, 'left': 409.15384615384613, 'height': 357.0769230769231, 'width': 137.15384615384613}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,269,front,,Abnormal Gait,abnormal,"{'top': 93.61538461538461, 'left': 405.38461538461536, 'height': 362.69230769230774, 'width': 139.38461538461536}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,270,front,,Abnormal Gait,abnormal,"{'top': 91.38461538461539, 'left': 401.61538461538464, 'height': 368.30769230769226, 'width': 141.61538461538464}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,271,front,,Abnormal Gait,abnormal,"{'top': 89.15384615384616, 'left': 397.84615384615387, 'height': 373.9230769230769, 'width': 143.84615384615387}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,272,front,,Abnormal Gait,abnormal,"{'top': 86.92307692307692, 'left': 394.0769230769231, 'height': 379.53846153846155, 'width': 146.0769230769231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,273,front,,Abnormal Gait,abnormal,"{'top': 84.6923076923077, 'left': 390.3076923076923, 'height': 385.1538461538462, 'width': 148.30769230769232}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,274,front,,Abnormal Gait,abnormal,"{'top': 82.46153846153847, 'left': 386.53846153846155, 'height': 390.7692307692308, 'width': 150.53846153846155}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,275,front,,Abnormal Gait,abnormal,"{'top': 80.23076923076923, 'left': 382.7692307692308, 'height': 396.3846153846154, 'width': 152.76923076923077}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,276,front,,Abnormal Gait,abnormal,"{'top': 78.0, 'left': 379.0, 'height': 402.0, 'width': 155.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,277,front,,Abnormal Gait,abnormal,"{'top': 75.72727272727273, 'left': 375.27272727272725, 'height': 404.27272727272725, 'width': 157.18181818181824}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,278,front,,Abnormal Gait,abnormal,"{'top': 73.45454545454545, 'left': 371.54545454545456, 'height': 406.54545454545456, 'width': 159.36363636363632}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,279,front,,Abnormal Gait,abnormal,"{'top': 71.18181818181819, 'left': 367.8181818181818, 'height': 408.8181818181818, 'width': 161.54545454545456}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,280,front,,Abnormal Gait,abnormal,"{'top': 68.9090909090909, 'left': 364.09090909090907, 'height': 411.0909090909091, 'width': 163.7272727272728}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,281,front,,Abnormal Gait,abnormal,"{'top': 66.63636363636364, 'left': 360.3636363636364, 'height': 413.3636363636364, 'width': 165.90909090909088}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,282,front,,Abnormal Gait,abnormal,"{'top': 64.36363636363636, 'left': 356.6363636363636, 'height': 415.6363636363636, 'width': 168.09090909090912}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,283,front,,Abnormal Gait,abnormal,"{'top': 62.09090909090909, 'left': 352.90909090909093, 'height': 417.9090909090909, 'width': 170.2727272727272}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,284,front,,Abnormal Gait,abnormal,"{'top': 59.81818181818181, 'left': 349.1818181818182, 'height': 420.1818181818182, 'width': 172.45454545454544}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,285,front,,Abnormal Gait,abnormal,"{'top': 57.54545454545455, 'left': 345.45454545454544, 'height': 422.45454545454544, 'width': 174.63636363636368}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,286,front,,Abnormal Gait,abnormal,"{'top': 55.27272727272727, 'left': 341.72727272727275, 'height': 424.72727272727275, 'width': 176.81818181818176}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,287,front,,Abnormal Gait,abnormal,"{'top': 53.0, 'left': 338.0, 'height': 427.0, 'width': 179.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,288,front,,Abnormal Gait,abnormal,"{'top': 50.769230769230774, 'left': 334.2307692307692, 'height': 429.2307692307692, 'width': 177.23076923076923}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,289,front,,Abnormal Gait,abnormal,"{'top': 48.53846153846154, 'left': 330.46153846153845, 'height': 431.46153846153845, 'width': 175.46153846153845}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,290,front,,Abnormal Gait,abnormal,"{'top': 46.30769230769231, 'left': 326.6923076923077, 'height': 433.6923076923077, 'width': 173.69230769230768}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,291,front,,Abnormal Gait,abnormal,"{'top': 44.07692307692308, 'left': 322.9230769230769, 'height': 435.9230769230769, 'width': 171.92307692307696}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,292,front,,Abnormal Gait,abnormal,"{'top': 41.84615384615385, 'left': 319.15384615384613, 'height': 438.15384615384613, 'width': 170.1538461538462}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,293,front,,Abnormal Gait,abnormal,"{'top': 39.61538461538461, 'left': 315.38461538461536, 'height': 440.38461538461536, 'width': 168.38461538461542}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,294,front,,Abnormal Gait,abnormal,"{'top': 37.38461538461539, 'left': 311.61538461538464, 'height': 442.61538461538464, 'width': 166.61538461538458}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,295,front,,Abnormal Gait,abnormal,"{'top': 35.15384615384615, 'left': 307.84615384615387, 'height': 444.84615384615387, 'width': 164.8461538461538}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,296,front,,Abnormal Gait,abnormal,"{'top': 32.92307692307692, 'left': 304.0769230769231, 'height': 447.0769230769231, 'width': 163.07692307692304}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,297,front,,Abnormal Gait,abnormal,"{'top': 30.69230769230769, 'left': 300.3076923076923, 'height': 449.3076923076923, 'width': 161.30769230769232}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,298,front,,Abnormal Gait,abnormal,"{'top': 28.461538461538463, 'left': 296.53846153846155, 'height': 451.53846153846155, 'width': 159.53846153846155}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,299,front,,Abnormal Gait,abnormal,"{'top': 26.23076923076923, 'left': 292.7692307692308, 'height': 453.7692307692308, 'width': 157.76923076923077}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
cljo6oiiv000g3n6lr7nwhvl8,300,front,,Abnormal Gait,abnormal,"{'top': 24.0, 'left': 289.0, 'height': 456.0, 'width': 156.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",3QpsdYh7uhI,https://www.youtube.com/watch?v=3QpsdYh7uhI
