seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo73h3a001r3n6l786njnar,1106,left side,,Abnormal Gait,abnormal,"{'top': 126.0, 'left': 716.0, 'height': 324.0, 'width': 138.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73h3a001r3n6l786njnar,1107,left side,,Abnormal Gait,abnormal,"{'top': 129.5, 'left': 711.0, 'height': 319.0, 'width': 143.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73h3a001r3n6l786njnar,1108,left side,,Abnormal Gait,abnormal,"{'top': 133.0, 'left': 706.0, 'height': 314.0, 'width': 148.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73h3a001r3n6l786njnar,1109,left side,,Abnormal Gait,abnormal,"{'top': 117.0, 'left': 701.0, 'height': 329.0, 'width': 146.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73h3a001r3n6l786njnar,1110,left side,,Abnormal Gait,abnormal,"{'top': 121.0, 'left': 696.0, 'height': 323.5, 'width': 146.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73h3a001r3n6l786njnar,1111,left side,,Abnormal Gait,abnormal,"{'top': 125.0, 'left': 691.0, 'height': 318.0, 'width': 147.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73h3a001r3n6l786njnar,1112,left side,,Abnormal Gait,abnormal,"{'top': 128.0, 'left': 674.0, 'height': 334.0, 'width': 155.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73h3a001r3n6l786njnar,1113,left side,,Abnormal Gait,abnormal,"{'top': 130.25, 'left': 659.75, 'height': 336.25, 'width': 159.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73h3a001r3n6l786njnar,1114,left side,,Abnormal Gait,abnormal,"{'top': 132.5, 'left': 645.5, 'height': 338.5, 'width': 163.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73h3a001r3n6l786njnar,1115,left side,,Abnormal Gait,abnormal,"{'top': 134.75, 'left': 631.25, 'height': 340.75, 'width': 167.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73h3a001r3n6l786njnar,1116,left side,,Abnormal Gait,abnormal,"{'top': 137.0, 'left': 617.0, 'height': 343.0, 'width': 171.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
