seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo73wlq001v3n6lwewuob3u,1131,left side,,Abnormal Gait,abnormal,"{'top': 129.0, 'left': 644.0, 'height': 185.0, 'width': 104.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1132,left side,,Abnormal Gait,abnormal,"{'top': 132.0, 'left': 634.0, 'height': 185.0, 'width': 104.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1133,left side,,Abnormal Gait,abnormal,"{'top': 135.0, 'left': 624.0, 'height': 185.0, 'width': 104.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1134,left side,,Abnormal Gait,abnormal,"{'top': 138.0, 'left': 614.0, 'height': 185.0, 'width': 104.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1135,left side,,Abnormal Gait,abnormal,"{'top': 143.66666666666666, 'left': 608.0, 'height': 185.00000000000003, 'width': 104.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1136,left side,,Abnormal Gait,abnormal,"{'top': 149.33333333333334, 'left': 602.0, 'height': 184.99999999999997, 'width': 104.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1137,left side,,Abnormal Gait,abnormal,"{'top': 155.0, 'left': 596.0, 'height': 185.0, 'width': 104.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1138,left side,,Abnormal Gait,abnormal,"{'top': 141.0, 'left': 591.0, 'height': 197.0, 'width': 112.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1139,left side,,Abnormal Gait,abnormal,"{'top': 145.5, 'left': 585.5, 'height': 191.0, 'width': 108.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1140,left side,,Abnormal Gait,abnormal,"{'top': 150.0, 'left': 580.0, 'height': 185.0, 'width': 104.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1141,left side,,Abnormal Gait,abnormal,"{'top': 144.0, 'left': 556.0, 'height': 201.0, 'width': 119.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1142,left side,,Abnormal Gait,abnormal,"{'top': 137.0, 'left': 547.0, 'height': 221.0, 'width': 135.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo73wlq001v3n6lwewuob3u,1143,left side,,Abnormal Gait,abnormal,"{'top': 138.0, 'left': 538.0, 'height': 218.0, 'width': 125.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
