seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo74u8m001z3n6ly63a0fod,1181,left side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 688.0, 'height': 180.0, 'width': 72.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1182,left side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 677.0, 'height': 185.5, 'width': 82.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1183,left side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 666.0, 'height': 191.0, 'width': 92.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1184,left side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 655.0, 'height': 197.5, 'width': 101.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1185,left side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 644.0, 'height': 204.0, 'width': 111.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1186,left side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 629.5, 'height': 209.5, 'width': 118.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1187,left side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 615.0, 'height': 215.0, 'width': 126.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1188,left side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 606.0, 'height': 213.5, 'width': 123.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1189,left side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 597.0, 'height': 212.0, 'width': 120.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1190,left side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 584.0, 'height': 218.0, 'width': 107.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1191,left side,,Abnormal Gait,abnormal,"{'top': 111.33333333333333, 'left': 575.0, 'height': 205.33333333333337, 'width': 95.33333333333337}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1192,left side,,Abnormal Gait,abnormal,"{'top': 111.66666666666667, 'left': 566.0, 'height': 192.66666666666663, 'width': 83.66666666666663}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo74u8m001z3n6ly63a0fod,1193,left side,,Abnormal Gait,abnormal,"{'top': 112.0, 'left': 557.0, 'height': 180.0, 'width': 72.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
