seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo7acd3002j3n6lhb0de2it,2578,right side,,Abnormal Gait,abnormal,"{'top': 109.0, 'left': 425.0, 'height': 328.0, 'width': 130.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2579,right side,,Abnormal Gait,abnormal,"{'top': 109.25, 'left': 429.0, 'height': 330.25, 'width': 138.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2580,right side,,Abnormal Gait,abnormal,"{'top': 109.5, 'left': 433.0, 'height': 332.5, 'width': 147.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2581,right side,,Abnormal Gait,abnormal,"{'top': 109.75, 'left': 437.0, 'height': 334.75, 'width': 155.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2582,right side,,Abnormal Gait,abnormal,"{'top': 110.0, 'left': 441.0, 'height': 337.0, 'width': 164.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2583,right side,,Abnormal Gait,abnormal,"{'top': 110.5, 'left': 445.0, 'height': 336.0, 'width': 180.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2584,right side,,Abnormal Gait,abnormal,"{'top': 111.0, 'left': 449.0, 'height': 335.0, 'width': 196.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2585,right side,,Abnormal Gait,abnormal,"{'top': 111.5, 'left': 453.0, 'height': 338.5, 'width': 213.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2586,right side,,Abnormal Gait,abnormal,"{'top': 112.0, 'left': 457.0, 'height': 342.0, 'width': 230.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2587,right side,,Abnormal Gait,abnormal,"{'top': 112.0, 'left': 461.0, 'height': 347.0, 'width': 234.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2588,right side,,Abnormal Gait,abnormal,"{'top': 112.0, 'left': 465.0, 'height': 353.0, 'width': 249.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2589,right side,,Abnormal Gait,abnormal,"{'top': 112.33333333333333, 'left': 469.1666666666667, 'height': 352.33333333333337, 'width': 248.83333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2590,right side,,Abnormal Gait,abnormal,"{'top': 112.66666666666667, 'left': 473.3333333333333, 'height': 351.66666666666663, 'width': 248.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2591,right side,,Abnormal Gait,abnormal,"{'top': 113.0, 'left': 477.5, 'height': 351.0, 'width': 248.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2592,right side,,Abnormal Gait,abnormal,"{'top': 113.33333333333333, 'left': 481.6666666666667, 'height': 350.33333333333337, 'width': 248.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2593,right side,,Abnormal Gait,abnormal,"{'top': 113.66666666666667, 'left': 485.8333333333333, 'height': 349.66666666666663, 'width': 248.16666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2594,right side,,Abnormal Gait,abnormal,"{'top': 114.0, 'left': 490.0, 'height': 349.0, 'width': 248.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2595,right side,,Abnormal Gait,abnormal,"{'top': 114.5, 'left': 494.1666666666667, 'height': 349.6666666666667, 'width': 233.99999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2596,right side,,Abnormal Gait,abnormal,"{'top': 115.0, 'left': 498.3333333333333, 'height': 350.3333333333333, 'width': 220.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2597,right side,,Abnormal Gait,abnormal,"{'top': 115.5, 'left': 502.5, 'height': 351.0, 'width': 206.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2598,right side,,Abnormal Gait,abnormal,"{'top': 116.0, 'left': 506.6666666666667, 'height': 351.6666666666667, 'width': 191.99999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2599,right side,,Abnormal Gait,abnormal,"{'top': 116.5, 'left': 510.8333333333333, 'height': 352.3333333333333, 'width': 178.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2600,right side,,Abnormal Gait,abnormal,"{'top': 117.0, 'left': 515.0, 'height': 353.0, 'width': 164.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2601,right side,,Abnormal Gait,abnormal,"{'top': 117.33333333333333, 'left': 519.0, 'height': 353.6666666666667, 'width': 172.66666666666663}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7acd3002j3n6lhb0de2it,2602,right side,,Abnormal Gait,abnormal,"{'top': 117.66666666666667, 'left': 523.0, 'height': 354.3333333333333, 'width': 181.33333333333337}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
