seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo7bfwl002n3n6lnbxuwj21,2760,right side,,Abnormal Gait,abnormal,"{'top': 115.0, 'left': 135.0, 'height': 297.0, 'width': 185.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2761,right side,,Abnormal Gait,abnormal,"{'top': 97.0, 'left': 138.0, 'height': 315.0, 'width': 191.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2762,right side,,Abnormal Gait,abnormal,"{'top': 97.03571428571429, 'left': 141.10714285714286, 'height': 315.6071428571429, 'width': 191.2142857142857}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2763,right side,,Abnormal Gait,abnormal,"{'top': 97.07142857142857, 'left': 144.21428571428572, 'height': 316.2142857142857, 'width': 191.42857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2764,right side,,Abnormal Gait,abnormal,"{'top': 97.10714285714286, 'left': 147.32142857142858, 'height': 316.82142857142856, 'width': 191.64285714285714}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2765,right side,,Abnormal Gait,abnormal,"{'top': 97.14285714285714, 'left': 150.42857142857142, 'height': 317.42857142857144, 'width': 191.85714285714286}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2766,right side,,Abnormal Gait,abnormal,"{'top': 97.17857142857143, 'left': 153.53571428571428, 'height': 318.0357142857143, 'width': 192.07142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2767,right side,,Abnormal Gait,abnormal,"{'top': 97.21428571428571, 'left': 156.64285714285714, 'height': 318.6428571428571, 'width': 192.2857142857143}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2768,right side,,Abnormal Gait,abnormal,"{'top': 97.25, 'left': 159.75, 'height': 319.25, 'width': 192.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2769,right side,,Abnormal Gait,abnormal,"{'top': 97.28571428571429, 'left': 162.85714285714286, 'height': 319.8571428571429, 'width': 192.7142857142857}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2770,right side,,Abnormal Gait,abnormal,"{'top': 97.32142857142857, 'left': 165.96428571428572, 'height': 320.4642857142857, 'width': 192.92857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2771,right side,,Abnormal Gait,abnormal,"{'top': 97.35714285714286, 'left': 169.07142857142858, 'height': 321.07142857142856, 'width': 193.14285714285714}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2772,right side,,Abnormal Gait,abnormal,"{'top': 97.39285714285714, 'left': 172.17857142857144, 'height': 321.67857142857144, 'width': 193.35714285714283}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2773,right side,,Abnormal Gait,abnormal,"{'top': 97.42857142857143, 'left': 175.28571428571428, 'height': 322.2857142857143, 'width': 193.57142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2774,right side,,Abnormal Gait,abnormal,"{'top': 97.46428571428571, 'left': 178.39285714285714, 'height': 322.8928571428571, 'width': 193.7857142857143}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2775,right side,,Abnormal Gait,abnormal,"{'top': 97.5, 'left': 181.5, 'height': 323.5, 'width': 194.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2776,right side,,Abnormal Gait,abnormal,"{'top': 97.53571428571429, 'left': 184.60714285714286, 'height': 324.1071428571429, 'width': 194.2142857142857}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2777,right side,,Abnormal Gait,abnormal,"{'top': 97.57142857142857, 'left': 187.71428571428572, 'height': 324.7142857142857, 'width': 194.4285714285714}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2778,right side,,Abnormal Gait,abnormal,"{'top': 97.60714285714286, 'left': 190.82142857142856, 'height': 325.32142857142856, 'width': 194.64285714285717}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2779,right side,,Abnormal Gait,abnormal,"{'top': 97.64285714285714, 'left': 193.92857142857144, 'height': 325.92857142857144, 'width': 194.85714285714283}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2780,right side,,Abnormal Gait,abnormal,"{'top': 97.67857142857143, 'left': 197.03571428571428, 'height': 326.5357142857143, 'width': 195.0714285714286}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2781,right side,,Abnormal Gait,abnormal,"{'top': 97.71428571428571, 'left': 200.14285714285714, 'height': 327.1428571428571, 'width': 195.2857142857143}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2782,right side,,Abnormal Gait,abnormal,"{'top': 97.75, 'left': 203.25, 'height': 327.75, 'width': 195.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2783,right side,,Abnormal Gait,abnormal,"{'top': 97.78571428571429, 'left': 206.35714285714286, 'height': 328.3571428571429, 'width': 195.7142857142857}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2784,right side,,Abnormal Gait,abnormal,"{'top': 97.82142857142857, 'left': 209.46428571428572, 'height': 328.9642857142857, 'width': 195.9285714285714}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2785,right side,,Abnormal Gait,abnormal,"{'top': 97.85714285714286, 'left': 212.57142857142856, 'height': 329.57142857142856, 'width': 196.14285714285717}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2786,right side,,Abnormal Gait,abnormal,"{'top': 97.89285714285714, 'left': 215.67857142857144, 'height': 330.17857142857144, 'width': 196.35714285714283}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2787,right side,,Abnormal Gait,abnormal,"{'top': 97.92857142857143, 'left': 218.78571428571428, 'height': 330.7857142857143, 'width': 196.5714285714286}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2788,right side,,Abnormal Gait,abnormal,"{'top': 97.96428571428571, 'left': 221.89285714285714, 'height': 331.3928571428571, 'width': 196.7857142857143}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2789,right side,,Abnormal Gait,abnormal,"{'top': 98.0, 'left': 225.0, 'height': 332.0, 'width': 197.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2790,right side,,Abnormal Gait,abnormal,"{'top': 98.0, 'left': 228.75, 'height': 335.75, 'width': 196.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2791,right side,,Abnormal Gait,abnormal,"{'top': 98.0, 'left': 232.5, 'height': 339.5, 'width': 196.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2792,right side,,Abnormal Gait,abnormal,"{'top': 98.0, 'left': 236.25, 'height': 343.25, 'width': 195.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2793,right side,,Abnormal Gait,abnormal,"{'top': 98.0, 'left': 240.0, 'height': 347.0, 'width': 195.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2794,right side,,Abnormal Gait,abnormal,"{'top': 95.72727272727273, 'left': 243.0909090909091, 'height': 349.8181818181818, 'width': 196.72727272727272}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2795,right side,,Abnormal Gait,abnormal,"{'top': 93.45454545454545, 'left': 246.1818181818182, 'height': 352.6363636363636, 'width': 198.45454545454544}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7bfwl002n3n6lnbxuwj21,2796,right side,,Abnormal Gait,abnormal,"{'top': 91.18181818181819, 'left': 249.27272727272728, 'height': 355.45454545454544, 'width': 200.18181818181816}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
