seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo7c1po002r3n6lbm26bmg1,2877,right side,,Abnormal Gait,abnormal,"{'top': 117.0, 'left': 127.0, 'height': 165.0, 'width': 107.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2878,right side,,Abnormal Gait,abnormal,"{'top': 117.25, 'left': 127.5, 'height': 165.8125, 'width': 107.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2879,right side,,Abnormal Gait,abnormal,"{'top': 117.5, 'left': 128.0, 'height': 166.625, 'width': 107.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2880,right side,,Abnormal Gait,abnormal,"{'top': 117.75, 'left': 128.5, 'height': 167.4375, 'width': 107.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2881,right side,,Abnormal Gait,abnormal,"{'top': 118.0, 'left': 129.0, 'height': 168.25, 'width': 107.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2882,right side,,Abnormal Gait,abnormal,"{'top': 118.25, 'left': 129.5, 'height': 169.0625, 'width': 107.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2883,right side,,Abnormal Gait,abnormal,"{'top': 118.5, 'left': 130.0, 'height': 169.875, 'width': 107.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2884,right side,,Abnormal Gait,abnormal,"{'top': 118.75, 'left': 130.5, 'height': 170.6875, 'width': 107.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2885,right side,,Abnormal Gait,abnormal,"{'top': 119.0, 'left': 131.0, 'height': 171.5, 'width': 108.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2886,right side,,Abnormal Gait,abnormal,"{'top': 119.25, 'left': 131.5, 'height': 172.3125, 'width': 108.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2887,right side,,Abnormal Gait,abnormal,"{'top': 119.5, 'left': 132.0, 'height': 173.125, 'width': 108.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2888,right side,,Abnormal Gait,abnormal,"{'top': 119.75, 'left': 132.5, 'height': 173.9375, 'width': 108.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2889,right side,,Abnormal Gait,abnormal,"{'top': 120.0, 'left': 133.0, 'height': 174.75, 'width': 108.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2890,right side,,Abnormal Gait,abnormal,"{'top': 120.25, 'left': 133.5, 'height': 175.5625, 'width': 108.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2891,right side,,Abnormal Gait,abnormal,"{'top': 120.5, 'left': 134.0, 'height': 176.375, 'width': 108.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2892,right side,,Abnormal Gait,abnormal,"{'top': 120.75, 'left': 134.5, 'height': 177.1875, 'width': 108.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2893,right side,,Abnormal Gait,abnormal,"{'top': 121.0, 'left': 135.0, 'height': 178.0, 'width': 109.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2894,right side,,Abnormal Gait,abnormal,"{'top': 121.25, 'left': 135.5, 'height': 178.8125, 'width': 109.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2895,right side,,Abnormal Gait,abnormal,"{'top': 121.5, 'left': 136.0, 'height': 179.625, 'width': 109.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2896,right side,,Abnormal Gait,abnormal,"{'top': 121.75, 'left': 136.5, 'height': 180.4375, 'width': 109.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2897,right side,,Abnormal Gait,abnormal,"{'top': 122.0, 'left': 137.0, 'height': 181.25, 'width': 109.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2898,right side,,Abnormal Gait,abnormal,"{'top': 122.25, 'left': 137.5, 'height': 182.0625, 'width': 109.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2899,right side,,Abnormal Gait,abnormal,"{'top': 122.5, 'left': 138.0, 'height': 182.875, 'width': 109.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2900,right side,,Abnormal Gait,abnormal,"{'top': 122.75, 'left': 138.5, 'height': 183.6875, 'width': 109.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2901,right side,,Abnormal Gait,abnormal,"{'top': 123.0, 'left': 139.0, 'height': 184.5, 'width': 110.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2902,right side,,Abnormal Gait,abnormal,"{'top': 123.25, 'left': 139.5, 'height': 185.3125, 'width': 110.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7c1po002r3n6lbm26bmg1,2903,right side,,Abnormal Gait,abnormal,"{'top': 123.5, 'left': 140.0, 'height': 186.125, 'width': 110.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
