seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo7e7vi002z3n6leux4ut5h,3152,front,,Abnormal Gait,abnormal,"{'top': 94.0, 'left': 566.0, 'height': 324.0, 'width': 138.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3153,front,,Abnormal Gait,abnormal,"{'top': 81.0, 'left': 557.5, 'height': 345.0, 'width': 148.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3154,front,,Abnormal Gait,abnormal,"{'top': 68.0, 'left': 549.0, 'height': 366.0, 'width': 158.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3155,front,,Abnormal Gait,abnormal,"{'top': 66.0, 'left': 550.75, 'height': 367.75, 'width': 162.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3156,front,,Abnormal Gait,abnormal,"{'top': 64.0, 'left': 552.5, 'height': 369.5, 'width': 167.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3157,front,,Abnormal Gait,abnormal,"{'top': 62.0, 'left': 554.25, 'height': 371.25, 'width': 172.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3158,front,,Abnormal Gait,abnormal,"{'top': 60.0, 'left': 556.0, 'height': 373.0, 'width': 177.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3159,front,,Abnormal Gait,abnormal,"{'top': 60.0, 'left': 557.6666666666666, 'height': 372.6666666666667, 'width': 181.66666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3160,front,,Abnormal Gait,abnormal,"{'top': 60.0, 'left': 559.3333333333334, 'height': 372.3333333333333, 'width': 186.33333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3161,front,,Abnormal Gait,abnormal,"{'top': 60.0, 'left': 561.0, 'height': 372.0, 'width': 191.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3162,front,,Abnormal Gait,abnormal,"{'top': 60.36842105263158, 'left': 562.0526315789474, 'height': 372.5789473684211, 'width': 190.9473684210526}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3163,front,,Abnormal Gait,abnormal,"{'top': 60.73684210526316, 'left': 563.1052631578947, 'height': 373.1578947368421, 'width': 190.89473684210532}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3164,front,,Abnormal Gait,abnormal,"{'top': 61.10526315789474, 'left': 564.1578947368421, 'height': 373.7368421052632, 'width': 190.84210526315792}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3165,front,,Abnormal Gait,abnormal,"{'top': 61.473684210526315, 'left': 565.2105263157895, 'height': 374.3157894736842, 'width': 190.78947368421052}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3166,front,,Abnormal Gait,abnormal,"{'top': 61.8421052631579, 'left': 566.2631578947369, 'height': 374.89473684210526, 'width': 190.73684210526312}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3167,front,,Abnormal Gait,abnormal,"{'top': 62.21052631578947, 'left': 567.3157894736842, 'height': 375.4736842105263, 'width': 190.68421052631584}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3168,front,,Abnormal Gait,abnormal,"{'top': 62.578947368421055, 'left': 568.3684210526316, 'height': 376.0526315789474, 'width': 190.63157894736844}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3169,front,,Abnormal Gait,abnormal,"{'top': 62.94736842105263, 'left': 569.421052631579, 'height': 376.63157894736844, 'width': 190.57894736842104}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3170,front,,Abnormal Gait,abnormal,"{'top': 63.31578947368421, 'left': 570.4736842105264, 'height': 377.2105263157895, 'width': 190.52631578947364}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3171,front,,Abnormal Gait,abnormal,"{'top': 63.68421052631579, 'left': 571.5263157894736, 'height': 377.7894736842105, 'width': 190.47368421052636}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3172,front,,Abnormal Gait,abnormal,"{'top': 64.05263157894737, 'left': 572.578947368421, 'height': 378.36842105263156, 'width': 190.42105263157896}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3173,front,,Abnormal Gait,abnormal,"{'top': 64.42105263157895, 'left': 573.6315789473684, 'height': 378.9473684210526, 'width': 190.36842105263156}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3174,front,,Abnormal Gait,abnormal,"{'top': 64.78947368421052, 'left': 574.6842105263158, 'height': 379.5263157894737, 'width': 190.31578947368416}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3175,front,,Abnormal Gait,abnormal,"{'top': 65.15789473684211, 'left': 575.7368421052631, 'height': 380.1052631578947, 'width': 190.26315789473688}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3176,front,,Abnormal Gait,abnormal,"{'top': 65.52631578947368, 'left': 576.7894736842105, 'height': 380.6842105263158, 'width': 190.21052631578948}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3177,front,,Abnormal Gait,abnormal,"{'top': 65.89473684210526, 'left': 577.8421052631579, 'height': 381.2631578947368, 'width': 190.15789473684208}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7e7vi002z3n6leux4ut5h,3178,front,,Abnormal Gait,abnormal,"{'top': 66.26315789473685, 'left': 578.8947368421053, 'height': 381.8421052631579, 'width': 190.10526315789468}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
