seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo7i1y4003f3n6leim4miol,4058,right side,,Abnormal Gait,abnormal,"{'top': 142.0, 'left': 485.0, 'height': 248.0, 'width': 116.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4059,right side,,Abnormal Gait,abnormal,"{'top': 141.1875, 'left': 486.3125, 'height': 250.6875, 'width': 119.4375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4060,right side,,Abnormal Gait,abnormal,"{'top': 140.375, 'left': 487.625, 'height': 253.375, 'width': 122.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4061,right side,,Abnormal Gait,abnormal,"{'top': 139.5625, 'left': 488.9375, 'height': 256.0625, 'width': 126.3125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4062,right side,,Abnormal Gait,abnormal,"{'top': 138.75, 'left': 490.25, 'height': 258.75, 'width': 129.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4063,right side,,Abnormal Gait,abnormal,"{'top': 137.9375, 'left': 491.5625, 'height': 261.4375, 'width': 133.1875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4064,right side,,Abnormal Gait,abnormal,"{'top': 137.125, 'left': 492.875, 'height': 264.125, 'width': 136.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4065,right side,,Abnormal Gait,abnormal,"{'top': 136.3125, 'left': 494.1875, 'height': 266.8125, 'width': 140.0625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4066,right side,,Abnormal Gait,abnormal,"{'top': 135.5, 'left': 495.5, 'height': 269.5, 'width': 143.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4067,right side,,Abnormal Gait,abnormal,"{'top': 134.6875, 'left': 496.8125, 'height': 272.1875, 'width': 146.9375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4068,right side,,Abnormal Gait,abnormal,"{'top': 133.875, 'left': 498.125, 'height': 274.875, 'width': 150.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4069,right side,,Abnormal Gait,abnormal,"{'top': 133.0625, 'left': 499.4375, 'height': 277.5625, 'width': 153.8125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4070,right side,,Abnormal Gait,abnormal,"{'top': 132.25, 'left': 500.75, 'height': 280.25, 'width': 157.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4071,right side,,Abnormal Gait,abnormal,"{'top': 131.4375, 'left': 502.0625, 'height': 282.9375, 'width': 160.6875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4072,right side,,Abnormal Gait,abnormal,"{'top': 130.625, 'left': 503.375, 'height': 285.625, 'width': 164.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
cljo7i1y4003f3n6leim4miol,4073,right side,,Abnormal Gait,abnormal,"{'top': 129.8125, 'left': 504.6875, 'height': 288.3125, 'width': 167.5625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",4BoP-MiNe3k,https://www.youtube.com/watch?v=4BoP-MiNe3k
