seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo86iyn005d3n6lhr0el9mm,35,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 33.0, 'height': 345.0, 'width': 189.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,36,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 33.59090909090909, 'height': 344.54545454545456, 'width': 188.22727272727272}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,37,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 34.18181818181818, 'height': 344.09090909090907, 'width': 187.45454545454544}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,38,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 34.77272727272727, 'height': 343.6363636363636, 'width': 186.6818181818182}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,39,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 35.36363636363637, 'height': 343.1818181818182, 'width': 185.9090909090909}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,40,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 35.95454545454545, 'height': 342.72727272727275, 'width': 185.13636363636363}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,41,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 36.54545454545455, 'height': 342.27272727272725, 'width': 184.36363636363637}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,42,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 37.13636363636364, 'height': 341.8181818181818, 'width': 183.59090909090907}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,43,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 37.72727272727273, 'height': 341.3636363636364, 'width': 182.8181818181818}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,44,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 38.31818181818182, 'height': 340.90909090909093, 'width': 182.04545454545456}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,45,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 38.90909090909091, 'height': 340.45454545454544, 'width': 181.27272727272728}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,46,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 39.5, 'height': 340.0, 'width': 180.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,47,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 40.09090909090909, 'height': 339.54545454545456, 'width': 179.72727272727272}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,48,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 40.68181818181818, 'height': 339.09090909090907, 'width': 178.95454545454544}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,49,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 41.27272727272727, 'height': 338.6363636363636, 'width': 178.1818181818182}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,50,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 41.86363636363636, 'height': 338.1818181818182, 'width': 177.40909090909093}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,51,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 42.45454545454545, 'height': 337.72727272727275, 'width': 176.63636363636363}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,52,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 43.04545454545455, 'height': 337.27272727272725, 'width': 175.86363636363637}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,53,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 43.63636363636364, 'height': 336.8181818181818, 'width': 175.09090909090907}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo86iyn005d3n6lhr0el9mm,54,back,,Abnormal Gait,abnormal,"{'top': 0.0, 'left': 44.22727272727273, 'height': 336.3636363636364, 'width': 174.3181818181818}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
