seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo875nq005h3n6lgtoxz2ug,302,front,,Abnormal Gait,abnormal,"{'top': 88.0, 'left': 95.0, 'height': 179.0, 'width': 87.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,303,front,,Abnormal Gait,abnormal,"{'top': 83.55555555555556, 'left': 93.44444444444444, 'height': 184.8888888888889, 'width': 88.8888888888889}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,304,front,,Abnormal Gait,abnormal,"{'top': 79.11111111111111, 'left': 91.88888888888889, 'height': 190.7777777777778, 'width': 90.77777777777777}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,305,front,,Abnormal Gait,abnormal,"{'top': 74.66666666666667, 'left': 90.33333333333333, 'height': 196.66666666666663, 'width': 92.66666666666667}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,306,front,,Abnormal Gait,abnormal,"{'top': 70.22222222222223, 'left': 88.77777777777777, 'height': 202.55555555555554, 'width': 94.55555555555557}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,307,front,,Abnormal Gait,abnormal,"{'top': 65.77777777777777, 'left': 87.22222222222223, 'height': 208.44444444444446, 'width': 96.44444444444443}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,308,front,,Abnormal Gait,abnormal,"{'top': 61.333333333333336, 'left': 85.66666666666667, 'height': 214.33333333333334, 'width': 98.33333333333333}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,309,front,,Abnormal Gait,abnormal,"{'top': 56.888888888888886, 'left': 84.11111111111111, 'height': 220.2222222222222, 'width': 100.22222222222223}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,310,front,,Abnormal Gait,abnormal,"{'top': 52.44444444444444, 'left': 82.55555555555556, 'height': 226.1111111111111, 'width': 102.1111111111111}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,311,front,,Abnormal Gait,abnormal,"{'top': 48.0, 'left': 81.0, 'height': 232.0, 'width': 104.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,312,front,,Abnormal Gait,abnormal,"{'top': 39.5, 'left': 81.0, 'height': 241.5, 'width': 104.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,313,front,,Abnormal Gait,abnormal,"{'top': 31.0, 'left': 81.0, 'height': 251.0, 'width': 105.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,314,front,,Abnormal Gait,abnormal,"{'top': 21.0, 'left': 80.0, 'height': 252.0, 'width': 105.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,315,front,,Abnormal Gait,abnormal,"{'top': 11.0, 'left': 79.0, 'height': 253.0, 'width': 106.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,316,front,,Abnormal Gait,abnormal,"{'top': 10.923076923076923, 'left': 79.11538461538461, 'height': 254.07692307692307, 'width': 106.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,317,front,,Abnormal Gait,abnormal,"{'top': 10.846153846153847, 'left': 79.23076923076923, 'height': 255.15384615384616, 'width': 107.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,318,front,,Abnormal Gait,abnormal,"{'top': 10.76923076923077, 'left': 79.34615384615384, 'height': 256.2307692307692, 'width': 107.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,319,front,,Abnormal Gait,abnormal,"{'top': 10.692307692307692, 'left': 79.46153846153847, 'height': 257.3076923076923, 'width': 107.99999999999999}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,320,front,,Abnormal Gait,abnormal,"{'top': 10.615384615384615, 'left': 79.57692307692308, 'height': 258.38461538461536, 'width': 108.49999999999999}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,321,front,,Abnormal Gait,abnormal,"{'top': 10.538461538461538, 'left': 79.6923076923077, 'height': 259.46153846153845, 'width': 108.99999999999999}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,322,front,,Abnormal Gait,abnormal,"{'top': 10.461538461538462, 'left': 79.8076923076923, 'height': 260.53846153846155, 'width': 109.50000000000001}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
cljo875nq005h3n6lgtoxz2ug,323,front,,Abnormal Gait,abnormal,"{'top': 10.384615384615385, 'left': 79.92307692307692, 'height': 261.61538461538464, 'width': 110.00000000000001}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",5bp2zHz_7_A,https://www.youtube.com/watch?v=5bp2zHz_7_A
