seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr4qair000o3n6lfd04bbxe,5965,front,,Abnormal Gait,abnormal,"{'top': 53.0, 'left': 353.0, 'height': 366.0, 'width': 135.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4qair000o3n6lfd04bbxe,5966,front,,Abnormal Gait,abnormal,"{'top': 52.925925925925924, 'left': 351.55555555555554, 'height': 366.44444444444446, 'width': 136.40740740740745}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4qair000o3n6lfd04bbxe,5967,front,,Abnormal Gait,abnormal,"{'top': 52.851851851851855, 'left': 350.1111111111111, 'height': 366.8888888888889, 'width': 137.81481481481484}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4qair000o3n6lfd04bbxe,5968,front,,Abnormal Gait,abnormal,"{'top': 52.77777777777778, 'left': 348.6666666666667, 'height': 367.3333333333333, 'width': 139.22222222222223}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4qair000o3n6lfd04bbxe,5969,front,,Abnormal Gait,abnormal,"{'top': 52.7037037037037, 'left': 347.22222222222223, 'height': 367.77777777777777, 'width': 140.62962962962962}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4qair000o3n6lfd04bbxe,5970,front,,Abnormal Gait,abnormal,"{'top': 52.629629629629626, 'left': 345.77777777777777, 'height': 368.22222222222223, 'width': 142.03703703703707}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4qair000o3n6lfd04bbxe,5971,front,,Abnormal Gait,abnormal,"{'top': 52.55555555555556, 'left': 344.3333333333333, 'height': 368.6666666666667, 'width': 143.44444444444446}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4qair000o3n6lfd04bbxe,5972,front,,Abnormal Gait,abnormal,"{'top': 52.48148148148148, 'left': 342.8888888888889, 'height': 369.11111111111114, 'width': 144.85185185185185}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4qair000o3n6lfd04bbxe,5973,front,,Abnormal Gait,abnormal,"{'top': 52.407407407407405, 'left': 341.44444444444446, 'height': 369.5555555555556, 'width': 146.25925925925924}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4qair000o3n6lfd04bbxe,5974,front,,Abnormal Gait,abnormal,"{'top': 52.333333333333336, 'left': 340.0, 'height': 370.0, 'width': 147.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
