seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr4rcwq000s3n6lxu1mjryx,6914,front,,Abnormal Gait,abnormal,"{'top': 50.0, 'left': 363.0, 'height': 385.0, 'width': 132.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6915,front,,Abnormal Gait,abnormal,"{'top': 49.86666666666667, 'left': 361.46666666666664, 'height': 385.3333333333333, 'width': 133.8}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6916,front,,Abnormal Gait,abnormal,"{'top': 49.733333333333334, 'left': 359.93333333333334, 'height': 385.66666666666663, 'width': 135.60000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6917,front,,Abnormal Gait,abnormal,"{'top': 49.6, 'left': 358.4, 'height': 386.0, 'width': 137.40000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6918,front,,Abnormal Gait,abnormal,"{'top': 49.46666666666667, 'left': 356.8666666666667, 'height': 386.33333333333337, 'width': 139.2}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6919,front,,Abnormal Gait,abnormal,"{'top': 49.333333333333336, 'left': 355.3333333333333, 'height': 386.6666666666667, 'width': 141.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6920,front,,Abnormal Gait,abnormal,"{'top': 49.2, 'left': 353.8, 'height': 387.0, 'width': 142.8}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6921,front,,Abnormal Gait,abnormal,"{'top': 49.06666666666667, 'left': 352.26666666666665, 'height': 387.3333333333333, 'width': 144.60000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6922,front,,Abnormal Gait,abnormal,"{'top': 48.93333333333333, 'left': 350.73333333333335, 'height': 387.6666666666667, 'width': 146.39999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6923,front,,Abnormal Gait,abnormal,"{'top': 48.8, 'left': 349.2, 'height': 388.0, 'width': 148.2}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6924,front,,Abnormal Gait,abnormal,"{'top': 48.666666666666664, 'left': 347.6666666666667, 'height': 388.3333333333333, 'width': 150.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6925,front,,Abnormal Gait,abnormal,"{'top': 48.53333333333333, 'left': 346.1333333333333, 'height': 388.66666666666663, 'width': 151.8}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6926,front,,Abnormal Gait,abnormal,"{'top': 48.4, 'left': 344.6, 'height': 389.0, 'width': 153.59999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6927,front,,Abnormal Gait,abnormal,"{'top': 48.266666666666666, 'left': 343.06666666666666, 'height': 389.33333333333337, 'width': 155.39999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6928,front,,Abnormal Gait,abnormal,"{'top': 48.13333333333333, 'left': 341.5333333333333, 'height': 389.6666666666667, 'width': 157.20000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6929,front,,Abnormal Gait,abnormal,"{'top': 48.0, 'left': 340.0, 'height': 390.0, 'width': 159.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6930,front,,Abnormal Gait,abnormal,"{'top': 47.84146341463415, 'left': 340.219512195122, 'height': 390.3658536585366, 'width': 159.2560975609756}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6931,front,,Abnormal Gait,abnormal,"{'top': 47.68292682926829, 'left': 340.4390243902439, 'height': 390.7317073170732, 'width': 159.5121951219512}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6932,front,,Abnormal Gait,abnormal,"{'top': 47.52439024390244, 'left': 340.6585365853659, 'height': 391.0975609756098, 'width': 159.7682926829268}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6933,front,,Abnormal Gait,abnormal,"{'top': 47.36585365853659, 'left': 340.8780487804878, 'height': 391.4634146341463, 'width': 160.02439024390242}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6934,front,,Abnormal Gait,abnormal,"{'top': 47.207317073170735, 'left': 341.0975609756098, 'height': 391.82926829268297, 'width': 160.28048780487802}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6935,front,,Abnormal Gait,abnormal,"{'top': 47.048780487804876, 'left': 341.3170731707317, 'height': 392.1951219512195, 'width': 160.53658536585368}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6936,front,,Abnormal Gait,abnormal,"{'top': 46.890243902439025, 'left': 341.5365853658537, 'height': 392.5609756097561, 'width': 160.79268292682923}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6937,front,,Abnormal Gait,abnormal,"{'top': 46.73170731707317, 'left': 341.7560975609756, 'height': 392.9268292682927, 'width': 161.0487804878049}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6938,front,,Abnormal Gait,abnormal,"{'top': 46.573170731707314, 'left': 341.9756097560976, 'height': 393.2926829268293, 'width': 161.30487804878044}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6939,front,,Abnormal Gait,abnormal,"{'top': 46.41463414634146, 'left': 342.1951219512195, 'height': 393.6585365853658, 'width': 161.5609756097561}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6940,front,,Abnormal Gait,abnormal,"{'top': 46.25609756097561, 'left': 342.4146341463415, 'height': 394.0243902439024, 'width': 161.8170731707317}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6941,front,,Abnormal Gait,abnormal,"{'top': 46.09756097560975, 'left': 342.6341463414634, 'height': 394.390243902439, 'width': 162.0731707317073}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6942,front,,Abnormal Gait,abnormal,"{'top': 45.9390243902439, 'left': 342.8536585365854, 'height': 394.7560975609756, 'width': 162.3292682926829}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6943,front,,Abnormal Gait,abnormal,"{'top': 45.78048780487805, 'left': 343.0731707317073, 'height': 395.1219512195122, 'width': 162.58536585365857}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6944,front,,Abnormal Gait,abnormal,"{'top': 45.6219512195122, 'left': 343.2926829268293, 'height': 395.4878048780488, 'width': 162.84146341463412}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6945,front,,Abnormal Gait,abnormal,"{'top': 45.46341463414634, 'left': 343.5121951219512, 'height': 395.8536585365854, 'width': 163.09756097560978}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6946,front,,Abnormal Gait,abnormal,"{'top': 45.30487804878049, 'left': 343.7317073170732, 'height': 396.2195121951219, 'width': 163.35365853658533}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6947,front,,Abnormal Gait,abnormal,"{'top': 45.146341463414636, 'left': 343.9512195121951, 'height': 396.5853658536586, 'width': 163.609756097561}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6948,front,,Abnormal Gait,abnormal,"{'top': 44.98780487804878, 'left': 344.1707317073171, 'height': 396.9512195121951, 'width': 163.8658536585366}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6949,front,,Abnormal Gait,abnormal,"{'top': 44.829268292682926, 'left': 344.390243902439, 'height': 397.3170731707317, 'width': 164.1219512195122}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6950,front,,Abnormal Gait,abnormal,"{'top': 44.670731707317074, 'left': 344.609756097561, 'height': 397.6829268292683, 'width': 164.3780487804878}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6951,front,,Abnormal Gait,abnormal,"{'top': 44.51219512195122, 'left': 344.8292682926829, 'height': 398.0487804878049, 'width': 164.6341463414634}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6952,front,,Abnormal Gait,abnormal,"{'top': 44.353658536585364, 'left': 345.0487804878049, 'height': 398.4146341463414, 'width': 164.890243902439}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
cljr4rcwq000s3n6lxu1mjryx,6953,front,,Abnormal Gait,abnormal,"{'top': 44.19512195121951, 'left': 345.2682926829268, 'height': 398.7804878048781, 'width': 165.14634146341467}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7OcKkW8_LUU,https://www.youtube.com/watch?v=7OcKkW8_LUU
