seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr5zp1i002b3n6l72p1rnd6,24,right side,,Abnormal Gait,abnormal,"{'top': 45.0, 'left': 0.0, 'height': 198.0, 'width': 52.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",9bofHbaHTVY,https://www.youtube.com/watch?v=9bofHbaHTVY
cljr5zp1i002b3n6l72p1rnd6,25,right side,,Abnormal Gait,abnormal,"{'top': 43.42857142857143, 'left': 0.42857142857142805, 'height': 201.28571428571428, 'width': 57.42857142857142}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",9bofHbaHTVY,https://www.youtube.com/watch?v=9bofHbaHTVY
cljr5zp1i002b3n6l72p1rnd6,26,right side,,Abnormal Gait,abnormal,"{'top': 41.857142857142854, 'left': 0.8571428571428571, 'height': 204.57142857142856, 'width': 62.85714285714286}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",9bofHbaHTVY,https://www.youtube.com/watch?v=9bofHbaHTVY
cljr5zp1i002b3n6l72p1rnd6,27,right side,,Abnormal Gait,abnormal,"{'top': 40.285714285714285, 'left': 1.2857142857142851, 'height': 207.85714285714286, 'width': 68.28571428571428}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",9bofHbaHTVY,https://www.youtube.com/watch?v=9bofHbaHTVY
cljr5zp1i002b3n6l72p1rnd6,28,right side,,Abnormal Gait,abnormal,"{'top': 38.714285714285715, 'left': 1.714285714285714, 'height': 211.14285714285714, 'width': 73.71428571428572}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",9bofHbaHTVY,https://www.youtube.com/watch?v=9bofHbaHTVY
cljr5zp1i002b3n6l72p1rnd6,29,right side,,Abnormal Gait,abnormal,"{'top': 37.14285714285714, 'left': 2.1428571428571432, 'height': 214.42857142857144, 'width': 79.14285714285714}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",9bofHbaHTVY,https://www.youtube.com/watch?v=9bofHbaHTVY
cljr5zp1i002b3n6l72p1rnd6,30,right side,,Abnormal Gait,abnormal,"{'top': 35.57142857142857, 'left': 2.571428571428571, 'height': 217.71428571428572, 'width': 84.57142857142857}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",9bofHbaHTVY,https://www.youtube.com/watch?v=9bofHbaHTVY
cljr5zp1i002b3n6l72p1rnd6,31,right side,,Abnormal Gait,abnormal,"{'top': 34.0, 'left': 3.0, 'height': 221.0, 'width': 90.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",9bofHbaHTVY,https://www.youtube.com/watch?v=9bofHbaHTVY
cljr5zp1i002b3n6l72p1rnd6,32,right side,,Abnormal Gait,abnormal,"{'top': 33.666666666666664, 'left': 2.0, 'height': 220.66666666666669, 'width': 89.66666666666667}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",9bofHbaHTVY,https://www.youtube.com/watch?v=9bofHbaHTVY
cljr5zp1i002b3n6l72p1rnd6,33,right side,,Abnormal Gait,abnormal,"{'top': 33.333333333333336, 'left': 1.0, 'height': 220.33333333333331, 'width': 89.33333333333333}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",9bofHbaHTVY,https://www.youtube.com/watch?v=9bofHbaHTVY
