seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljas04fw00f33n6lm5cvx9g6,1,front,,Abnormal Gait,cerebral palsy,"{'top': 361.0, 'left': 594.0, 'height': 198.0, 'width': 115.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,2,front,,Abnormal Gait,cerebral palsy,"{'top': 362.0, 'left': 595.4, 'height': 192.0, 'width': 110.39999999999998}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,3,front,,Abnormal Gait,cerebral palsy,"{'top': 363.0, 'left': 596.8, 'height': 186.0, 'width': 105.80000000000007}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,4,front,,Abnormal Gait,cerebral palsy,"{'top': 364.0, 'left': 598.2, 'height': 180.0, 'width': 101.19999999999993}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,5,front,,Abnormal Gait,cerebral palsy,"{'top': 365.0, 'left': 599.6, 'height': 174.0, 'width': 96.60000000000002}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,6,front,,Abnormal Gait,cerebral palsy,"{'top': 366.0, 'left': 601.0, 'height': 168.0, 'width': 92.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,7,front,,Abnormal Gait,cerebral palsy,"{'top': 365.4, 'left': 599.2, 'height': 169.60000000000002, 'width': 93.89999999999998}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,8,front,,Abnormal Gait,cerebral palsy,"{'top': 364.8, 'left': 597.4, 'height': 171.2, 'width': 95.80000000000007}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,9,front,,Abnormal Gait,cerebral palsy,"{'top': 364.2, 'left': 595.6, 'height': 172.8, 'width': 97.69999999999993}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,10,front,,Abnormal Gait,cerebral palsy,"{'top': 363.6, 'left': 593.8, 'height': 174.39999999999998, 'width': 99.60000000000002}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,11,front,,Abnormal Gait,cerebral palsy,"{'top': 363.0, 'left': 592.0, 'height': 176.0, 'width': 101.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,12,front,,Abnormal Gait,cerebral palsy,"{'top': 362.4, 'left': 590.2, 'height': 177.60000000000002, 'width': 103.39999999999998}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,13,front,,Abnormal Gait,cerebral palsy,"{'top': 361.8, 'left': 588.4, 'height': 179.2, 'width': 105.30000000000007}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,14,front,,Abnormal Gait,cerebral palsy,"{'top': 361.2, 'left': 586.6, 'height': 180.8, 'width': 107.19999999999993}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,15,front,,Abnormal Gait,cerebral palsy,"{'top': 360.6, 'left': 584.8, 'height': 182.39999999999998, 'width': 109.10000000000002}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,16,front,,Abnormal Gait,cerebral palsy,"{'top': 360.0, 'left': 583.0, 'height': 184.0, 'width': 111.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,17,front,,Abnormal Gait,cerebral palsy,"{'top': 359.3333333333333, 'left': 582.0, 'height': 185.66666666666669, 'width': 106.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,18,front,,Abnormal Gait,cerebral palsy,"{'top': 358.6666666666667, 'left': 581.0, 'height': 187.33333333333331, 'width': 102.33333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,19,front,,Abnormal Gait,cerebral palsy,"{'top': 358.0, 'left': 580.0, 'height': 189.0, 'width': 98.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,20,front,,Abnormal Gait,cerebral palsy,"{'top': 357.3703703703704, 'left': 578.9629629629629, 'height': 190.5555555555556, 'width': 99.77777777777783}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,21,front,,Abnormal Gait,cerebral palsy,"{'top': 356.74074074074076, 'left': 577.925925925926, 'height': 192.1111111111111, 'width': 101.55555555555554}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,22,front,,Abnormal Gait,cerebral palsy,"{'top': 356.1111111111111, 'left': 576.8888888888889, 'height': 193.66666666666674, 'width': 103.33333333333326}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,23,front,,Abnormal Gait,cerebral palsy,"{'top': 355.48148148148147, 'left': 575.8518518518518, 'height': 195.22222222222223, 'width': 105.11111111111109}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,24,front,,Abnormal Gait,cerebral palsy,"{'top': 354.85185185185185, 'left': 574.8148148148148, 'height': 196.77777777777783, 'width': 106.88888888888891}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,25,front,,Abnormal Gait,cerebral palsy,"{'top': 354.22222222222223, 'left': 573.7777777777778, 'height': 198.33333333333331, 'width': 108.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,26,front,,Abnormal Gait,cerebral palsy,"{'top': 353.5925925925926, 'left': 572.7407407407408, 'height': 199.8888888888889, 'width': 110.44444444444446}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,27,front,,Abnormal Gait,cerebral palsy,"{'top': 352.962962962963, 'left': 571.7037037037037, 'height': 201.4444444444444, 'width': 112.22222222222229}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,28,front,,Abnormal Gait,cerebral palsy,"{'top': 352.3333333333333, 'left': 570.6666666666666, 'height': 203.00000000000006, 'width': 114.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,29,front,,Abnormal Gait,cerebral palsy,"{'top': 351.7037037037037, 'left': 569.6296296296297, 'height': 204.55555555555554, 'width': 115.77777777777771}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,30,front,,Abnormal Gait,cerebral palsy,"{'top': 351.0740740740741, 'left': 568.5925925925926, 'height': 206.11111111111114, 'width': 117.55555555555554}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,31,front,,Abnormal Gait,cerebral palsy,"{'top': 350.44444444444446, 'left': 567.5555555555555, 'height': 207.66666666666663, 'width': 119.33333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,32,front,,Abnormal Gait,cerebral palsy,"{'top': 349.81481481481484, 'left': 566.5185185185185, 'height': 209.22222222222223, 'width': 121.1111111111112}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,33,front,,Abnormal Gait,cerebral palsy,"{'top': 349.18518518518516, 'left': 565.4814814814815, 'height': 210.77777777777777, 'width': 122.8888888888888}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,34,front,,Abnormal Gait,cerebral palsy,"{'top': 348.55555555555554, 'left': 564.4444444444445, 'height': 212.33333333333337, 'width': 124.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,35,front,,Abnormal Gait,cerebral palsy,"{'top': 347.9259259259259, 'left': 563.4074074074074, 'height': 213.88888888888886, 'width': 126.44444444444446}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
cljas04fw00f33n6lm5cvx9g6,36,front,,Abnormal Gait,cerebral palsy,"{'top': 347.2962962962963, 'left': 562.3703703703703, 'height': 215.44444444444446, 'width': 128.22222222222229}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A
