seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljarcfa700ck3n6lfww83ig1,2246,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 616.0, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2247,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 643.0, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2248,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 643.1666666666666, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2249,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 643.3333333333334, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2250,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 643.5, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2251,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 643.6666666666666, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2252,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 643.8333333333334, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2253,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 644.0, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2254,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 644.1666666666666, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2255,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 644.3333333333334, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2256,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 644.5, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2257,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 644.6666666666666, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2258,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 644.8333333333334, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2259,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 645.0, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2260,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 645.1666666666666, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2261,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 645.3333333333334, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2262,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 645.5, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2263,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 645.6666666666666, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2264,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 645.8333333333334, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2265,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 646.0, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2266,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 646.1666666666666, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2267,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 646.3333333333334, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2268,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 646.5, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2269,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 646.6666666666666, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2270,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 646.8333333333334, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2271,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 647.0, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
cljarcfa700ck3n6lfww83ig1,2272,back,,Abnormal Gait,cerebral palsy,"{'top': 48.0, 'left': 517.0, 'height': 647.1666666666666, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY
