seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo11225001g3n6l7zdk56hb,1504,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 365.0, 'height': 357.0, 'width': 131.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1505,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 356.75, 'height': 357.0, 'width': 139.75}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1506,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 348.5, 'height': 357.0, 'width': 148.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1507,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 340.25, 'height': 357.0, 'width': 157.25}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1508,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 332.0, 'height': 357.0, 'width': 166.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1509,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 329.4166666666667, 'height': 357.0, 'width': 166.16666666666663}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1510,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 326.8333333333333, 'height': 357.0, 'width': 166.33333333333337}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1511,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 324.25, 'height': 357.0, 'width': 166.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1512,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 321.6666666666667, 'height': 357.0, 'width': 166.66666666666663}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1513,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 319.0833333333333, 'height': 357.0, 'width': 166.83333333333337}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1514,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 316.5, 'height': 357.0, 'width': 167.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1515,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 313.9166666666667, 'height': 357.0, 'width': 167.16666666666663}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1516,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 311.3333333333333, 'height': 357.0, 'width': 167.33333333333337}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1517,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 308.75, 'height': 357.0, 'width': 167.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1518,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 306.1666666666667, 'height': 357.0, 'width': 167.66666666666663}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1519,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 303.5833333333333, 'height': 357.0, 'width': 167.83333333333337}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1520,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 301.0, 'height': 357.0, 'width': 168.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1521,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 298.4166666666667, 'height': 357.0, 'width': 168.16666666666663}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1522,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 295.8333333333333, 'height': 357.0, 'width': 168.33333333333337}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
cljo11225001g3n6l7zdk56hb,1523,left side,,Abnormal Gait,exercise,"{'top': 0.0, 'left': 293.25, 'height': 357.0, 'width': 168.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",_ZtLRn19mQE,https://www.youtube.com/watch?v=_ZtLRn19mQE
