seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo1kedv003c3n6l4p52mpyp,143,left side,,Abnormal Gait,exercise,"{'top': 21.0, 'left': 460.0, 'height': 444.0, 'width': 147.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0XM23zRNHM8,https://www.youtube.com/watch?v=0XM23zRNHM8
cljo1kedv003c3n6l4p52mpyp,144,left side,,Abnormal Gait,exercise,"{'top': 20.6875, 'left': 458.25, 'height': 445.125, 'width': 147.6875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0XM23zRNHM8,https://www.youtube.com/watch?v=0XM23zRNHM8
cljo1kedv003c3n6l4p52mpyp,145,left side,,Abnormal Gait,exercise,"{'top': 20.375, 'left': 456.5, 'height': 446.25, 'width': 148.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0XM23zRNHM8,https://www.youtube.com/watch?v=0XM23zRNHM8
cljo1kedv003c3n6l4p52mpyp,146,left side,,Abnormal Gait,exercise,"{'top': 20.0625, 'left': 454.75, 'height': 447.375, 'width': 149.0625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0XM23zRNHM8,https://www.youtube.com/watch?v=0XM23zRNHM8
cljo1kedv003c3n6l4p52mpyp,147,left side,,Abnormal Gait,exercise,"{'top': 19.75, 'left': 453.0, 'height': 448.5, 'width': 149.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0XM23zRNHM8,https://www.youtube.com/watch?v=0XM23zRNHM8
cljo1kedv003c3n6l4p52mpyp,148,left side,,Abnormal Gait,exercise,"{'top': 19.4375, 'left': 451.25, 'height': 449.625, 'width': 150.4375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0XM23zRNHM8,https://www.youtube.com/watch?v=0XM23zRNHM8
cljo1kedv003c3n6l4p52mpyp,149,left side,,Abnormal Gait,exercise,"{'top': 19.125, 'left': 449.5, 'height': 450.75, 'width': 151.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0XM23zRNHM8,https://www.youtube.com/watch?v=0XM23zRNHM8
cljo1kedv003c3n6l4p52mpyp,150,left side,,Abnormal Gait,exercise,"{'top': 18.8125, 'left': 447.75, 'height': 451.875, 'width': 151.8125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0XM23zRNHM8,https://www.youtube.com/watch?v=0XM23zRNHM8
cljo1kedv003c3n6l4p52mpyp,151,left side,,Abnormal Gait,exercise,"{'top': 18.5, 'left': 446.0, 'height': 453.0, 'width': 152.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0XM23zRNHM8,https://www.youtube.com/watch?v=0XM23zRNHM8
cljo1kedv003c3n6l4p52mpyp,152,left side,,Abnormal Gait,exercise,"{'top': 18.1875, 'left': 444.25, 'height': 454.125, 'width': 153.1875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",0XM23zRNHM8,https://www.youtube.com/watch?v=0XM23zRNHM8
