seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo2pc2p000c3n6l5f5bhadf,327,front,,Abnormal Gait,exercise,"{'top': 58.0, 'left': 451.0, 'height': 248.0, 'width': 79.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,328,front,,Abnormal Gait,exercise,"{'top': 57.888888888888886, 'left': 449.72222222222223, 'height': 248.7222222222222, 'width': 80.9444444444444}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,329,front,,Abnormal Gait,exercise,"{'top': 57.77777777777778, 'left': 448.44444444444446, 'height': 249.44444444444446, 'width': 82.88888888888891}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,330,front,,Abnormal Gait,exercise,"{'top': 57.666666666666664, 'left': 447.1666666666667, 'height': 250.16666666666666, 'width': 84.83333333333331}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,331,front,,Abnormal Gait,exercise,"{'top': 57.55555555555556, 'left': 445.8888888888889, 'height': 250.8888888888889, 'width': 86.77777777777771}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,332,front,,Abnormal Gait,exercise,"{'top': 57.44444444444444, 'left': 444.6111111111111, 'height': 251.6111111111111, 'width': 88.72222222222229}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,333,front,,Abnormal Gait,exercise,"{'top': 57.333333333333336, 'left': 443.3333333333333, 'height': 252.33333333333334, 'width': 90.66666666666669}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,334,front,,Abnormal Gait,exercise,"{'top': 57.22222222222222, 'left': 442.05555555555554, 'height': 253.05555555555554, 'width': 92.61111111111109}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,335,front,,Abnormal Gait,exercise,"{'top': 57.111111111111114, 'left': 440.77777777777777, 'height': 253.7777777777778, 'width': 94.5555555555556}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,336,front,,Abnormal Gait,exercise,"{'top': 57.0, 'left': 439.5, 'height': 254.5, 'width': 96.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,337,front,,Abnormal Gait,exercise,"{'top': 56.888888888888886, 'left': 438.22222222222223, 'height': 255.2222222222222, 'width': 98.4444444444444}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,338,front,,Abnormal Gait,exercise,"{'top': 56.77777777777778, 'left': 436.94444444444446, 'height': 255.94444444444446, 'width': 100.38888888888891}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,339,front,,Abnormal Gait,exercise,"{'top': 56.666666666666664, 'left': 435.6666666666667, 'height': 256.66666666666663, 'width': 102.33333333333331}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
cljo2pc2p000c3n6l5f5bhadf,340,front,,Abnormal Gait,exercise,"{'top': 56.55555555555556, 'left': 434.3888888888889, 'height': 257.3888888888889, 'width': 104.27777777777771}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",2t0-W_pQOu8,https://www.youtube.com/watch?v=2t0-W_pQOu8
