seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr5a80800253n6lzu0jmkx6,730,front,,Abnormal Gait,exercise,"{'top': 142.0, 'left': 620.0, 'height': 376.0, 'width': 140.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",8CmYE7Tt9mI,https://www.youtube.com/watch?v=8CmYE7Tt9mI
cljr5a80800253n6lzu0jmkx6,731,front,,Abnormal Gait,exercise,"{'top': 142.0, 'left': 619.2903225806451, 'height': 377.32258064516134, 'width': 141.0967741935484}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",8CmYE7Tt9mI,https://www.youtube.com/watch?v=8CmYE7Tt9mI
cljr5a80800253n6lzu0jmkx6,732,front,,Abnormal Gait,exercise,"{'top': 142.0, 'left': 618.5806451612904, 'height': 378.64516129032256, 'width': 142.1935483870967}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",8CmYE7Tt9mI,https://www.youtube.com/watch?v=8CmYE7Tt9mI
cljr5a80800253n6lzu0jmkx6,733,front,,Abnormal Gait,exercise,"{'top': 142.0, 'left': 617.8709677419355, 'height': 379.9677419354839, 'width': 143.29032258064512}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",8CmYE7Tt9mI,https://www.youtube.com/watch?v=8CmYE7Tt9mI
cljr5a80800253n6lzu0jmkx6,734,front,,Abnormal Gait,exercise,"{'top': 142.0, 'left': 617.1612903225806, 'height': 381.2903225806451, 'width': 144.38709677419354}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",8CmYE7Tt9mI,https://www.youtube.com/watch?v=8CmYE7Tt9mI
cljr5a80800253n6lzu0jmkx6,735,front,,Abnormal Gait,exercise,"{'top': 142.0, 'left': 616.4516129032259, 'height': 382.61290322580646, 'width': 145.48387096774184}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",8CmYE7Tt9mI,https://www.youtube.com/watch?v=8CmYE7Tt9mI
cljr5a80800253n6lzu0jmkx6,736,front,,Abnormal Gait,exercise,"{'top': 142.0, 'left': 615.741935483871, 'height': 383.9354838709677, 'width': 146.58064516129036}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",8CmYE7Tt9mI,https://www.youtube.com/watch?v=8CmYE7Tt9mI
cljr5a80800253n6lzu0jmkx6,737,front,,Abnormal Gait,exercise,"{'top': 142.0, 'left': 615.0322580645161, 'height': 385.258064516129, 'width': 147.67741935483878}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",8CmYE7Tt9mI,https://www.youtube.com/watch?v=8CmYE7Tt9mI
cljr5a80800253n6lzu0jmkx6,738,front,,Abnormal Gait,exercise,"{'top': 142.0, 'left': 614.3225806451613, 'height': 386.58064516129036, 'width': 148.77419354838707}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",8CmYE7Tt9mI,https://www.youtube.com/watch?v=8CmYE7Tt9mI
cljr5a80800253n6lzu0jmkx6,739,front,,Abnormal Gait,exercise,"{'top': 142.0, 'left': 613.6129032258065, 'height': 387.9032258064516, 'width': 149.8709677419355}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",8CmYE7Tt9mI,https://www.youtube.com/watch?v=8CmYE7Tt9mI
