seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljarp08600dt3n6lxa7sysiv,1964,left side,,Abnormal Gait,myopathic,"{'top': 110.0, 'left': 1048.0, 'height': 471.0, 'width': 134.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1965,left side,,Abnormal Gait,myopathic,"{'top': 109.5, 'left': 1049.0, 'height': 471.0, 'width': 135.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1966,left side,,Abnormal Gait,myopathic,"{'top': 109.0, 'left': 1050.0, 'height': 471.0, 'width': 137.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1967,left side,,Abnormal Gait,myopathic,"{'top': 108.5, 'left': 1051.0, 'height': 471.0, 'width': 138.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1968,left side,,Abnormal Gait,myopathic,"{'top': 108.0, 'left': 1052.0, 'height': 471.0, 'width': 140.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1969,left side,,Abnormal Gait,myopathic,"{'top': 108.0, 'left': 1054.0, 'height': 471.0, 'width': 141.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1970,left side,,Abnormal Gait,myopathic,"{'top': 108.0, 'left': 1056.0, 'height': 471.0, 'width': 143.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1971,left side,,Abnormal Gait,myopathic,"{'top': 107.33333333333333, 'left': 1054.3333333333333, 'height': 471.00000000000006, 'width': 144.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1972,left side,,Abnormal Gait,myopathic,"{'top': 106.66666666666667, 'left': 1052.6666666666667, 'height': 470.99999999999994, 'width': 146.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1973,left side,,Abnormal Gait,myopathic,"{'top': 106.0, 'left': 1051.0, 'height': 471.0, 'width': 147.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1974,left side,,Abnormal Gait,myopathic,"{'top': 105.33333333333333, 'left': 1049.3333333333333, 'height': 471.00000000000006, 'width': 149.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1975,left side,,Abnormal Gait,myopathic,"{'top': 104.66666666666667, 'left': 1047.6666666666667, 'height': 470.99999999999994, 'width': 150.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1976,left side,,Abnormal Gait,myopathic,"{'top': 104.0, 'left': 1046.0, 'height': 471.0, 'width': 152.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1977,left side,,Abnormal Gait,myopathic,"{'top': 104.875, 'left': 1043.375, 'height': 471.0, 'width': 153.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1978,left side,,Abnormal Gait,myopathic,"{'top': 105.75, 'left': 1040.75, 'height': 471.0, 'width': 155.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1979,left side,,Abnormal Gait,myopathic,"{'top': 106.625, 'left': 1038.125, 'height': 471.0, 'width': 156.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1980,left side,,Abnormal Gait,myopathic,"{'top': 107.5, 'left': 1035.5, 'height': 471.0, 'width': 158.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1981,left side,,Abnormal Gait,myopathic,"{'top': 108.375, 'left': 1032.875, 'height': 471.0, 'width': 159.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1982,left side,,Abnormal Gait,myopathic,"{'top': 109.25, 'left': 1030.25, 'height': 471.0, 'width': 161.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1983,left side,,Abnormal Gait,myopathic,"{'top': 110.125, 'left': 1027.625, 'height': 471.0, 'width': 162.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1984,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 1025.0, 'height': 471.0, 'width': 164.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1985,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 1021.7142857142857, 'height': 471.0, 'width': 165.42857142857144}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1986,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 1018.4285714285714, 'height': 471.0, 'width': 166.85714285714278}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1987,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 1015.1428571428571, 'height': 471.0, 'width': 168.28571428571422}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1988,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 1011.8571428571429, 'height': 471.0, 'width': 169.71428571428578}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1989,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 1008.5714285714286, 'height': 471.0, 'width': 171.14285714285722}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1990,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 1005.2857142857143, 'height': 471.0, 'width': 172.57142857142856}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1991,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 1002.0, 'height': 471.0, 'width': 174.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1992,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 993.6, 'height': 471.4, 'width': 179.80000000000007}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1993,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 985.2, 'height': 471.79999999999995, 'width': 185.5999999999999}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1994,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 976.8, 'height': 472.20000000000005, 'width': 191.4000000000001}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1995,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 968.4, 'height': 472.6, 'width': 197.19999999999993}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1996,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 960.0, 'height': 473.0, 'width': 203.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1997,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 951.6666666666666, 'height': 472.33333333333337, 'width': 208.0000000000001}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1998,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 943.3333333333334, 'height': 471.66666666666663, 'width': 212.9999999999999}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,1999,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 935.0, 'height': 471.0, 'width': 218.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,2000,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 926.5, 'height': 474.0, 'width': 235.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,2001,left side,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 918.0, 'height': 477.0, 'width': 252.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,2002,left side,,Abnormal Gait,myopathic,"{'top': 111.05263157894737, 'left': 909.6842105263158, 'height': 476.7894736842105, 'width': 253.26315789473688}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,2003,left side,,Abnormal Gait,myopathic,"{'top': 111.10526315789474, 'left': 901.3684210526316, 'height': 476.5789473684211, 'width': 254.52631578947364}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,2004,left side,,Abnormal Gait,myopathic,"{'top': 111.15789473684211, 'left': 893.0526315789474, 'height': 476.36842105263156, 'width': 255.78947368421052}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,2005,left side,,Abnormal Gait,myopathic,"{'top': 111.21052631578948, 'left': 884.7368421052631, 'height': 476.1578947368421, 'width': 257.0526315789475}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cljarp08600dt3n6lxa7sysiv,2006,left side,,Abnormal Gait,myopathic,"{'top': 111.26315789473684, 'left': 876.421052631579, 'height': 475.94736842105266, 'width': 258.31578947368416}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
