seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljawb5nf00043n6l38chxsod,1,front,,Abnormal Gait,myopathic,"{'top': 83.0, 'left': 410.0, 'height': 329.0, 'width': 151.0}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,2,front,,Abnormal Gait,myopathic,"{'top': 82.59615384615384, 'left': 409.59615384615387, 'height': 329.9230769230769, 'width': 151.90384615384613}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,3,front,,Abnormal Gait,myopathic,"{'top': 82.1923076923077, 'left': 409.1923076923077, 'height': 330.84615384615387, 'width': 152.80769230769232}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,4,front,,Abnormal Gait,myopathic,"{'top': 81.78846153846153, 'left': 408.78846153846155, 'height': 331.7692307692308, 'width': 153.71153846153845}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,5,front,,Abnormal Gait,myopathic,"{'top': 81.38461538461539, 'left': 408.38461538461536, 'height': 332.69230769230774, 'width': 154.61538461538464}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,6,front,,Abnormal Gait,myopathic,"{'top': 80.98076923076923, 'left': 407.9807692307692, 'height': 333.61538461538464, 'width': 155.51923076923077}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,7,front,,Abnormal Gait,myopathic,"{'top': 80.57692307692308, 'left': 407.5769230769231, 'height': 334.53846153846155, 'width': 156.4230769230769}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,8,front,,Abnormal Gait,myopathic,"{'top': 80.17307692307692, 'left': 407.1730769230769, 'height': 335.46153846153845, 'width': 157.3269230769231}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,9,front,,Abnormal Gait,myopathic,"{'top': 79.76923076923077, 'left': 406.7692307692308, 'height': 336.38461538461536, 'width': 158.23076923076923}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,10,front,,Abnormal Gait,myopathic,"{'top': 79.36538461538461, 'left': 406.36538461538464, 'height': 337.30769230769226, 'width': 159.13461538461536}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,11,front,,Abnormal Gait,myopathic,"{'top': 78.96153846153847, 'left': 405.96153846153845, 'height': 338.2307692307692, 'width': 160.03846153846155}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,12,front,,Abnormal Gait,myopathic,"{'top': 78.5576923076923, 'left': 405.5576923076923, 'height': 339.15384615384613, 'width': 160.94230769230768}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,13,front,,Abnormal Gait,myopathic,"{'top': 78.15384615384616, 'left': 405.15384615384613, 'height': 340.0769230769231, 'width': 161.84615384615387}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,14,front,,Abnormal Gait,myopathic,"{'top': 77.75, 'left': 404.75, 'height': 341.0, 'width': 162.75}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,15,front,,Abnormal Gait,myopathic,"{'top': 77.34615384615384, 'left': 404.34615384615387, 'height': 341.9230769230769, 'width': 163.65384615384613}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,16,front,,Abnormal Gait,myopathic,"{'top': 76.9423076923077, 'left': 403.9423076923077, 'height': 342.84615384615387, 'width': 164.55769230769232}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,17,front,,Abnormal Gait,myopathic,"{'top': 76.53846153846153, 'left': 403.53846153846155, 'height': 343.7692307692308, 'width': 165.46153846153845}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,18,front,,Abnormal Gait,myopathic,"{'top': 76.13461538461539, 'left': 403.13461538461536, 'height': 344.69230769230774, 'width': 166.36538461538464}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,19,front,,Abnormal Gait,myopathic,"{'top': 75.73076923076923, 'left': 402.7307692307692, 'height': 345.61538461538464, 'width': 167.26923076923077}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,20,front,,Abnormal Gait,myopathic,"{'top': 75.32692307692308, 'left': 402.3269230769231, 'height': 346.53846153846155, 'width': 168.1730769230769}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,21,front,,Abnormal Gait,myopathic,"{'top': 74.92307692307692, 'left': 401.9230769230769, 'height': 347.46153846153845, 'width': 169.0769230769231}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,22,front,,Abnormal Gait,myopathic,"{'top': 74.51923076923077, 'left': 401.5192307692308, 'height': 348.38461538461536, 'width': 169.98076923076923}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,23,front,,Abnormal Gait,myopathic,"{'top': 74.11538461538461, 'left': 401.11538461538464, 'height': 349.30769230769226, 'width': 170.88461538461536}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,24,front,,Abnormal Gait,myopathic,"{'top': 73.71153846153847, 'left': 400.71153846153845, 'height': 350.2307692307692, 'width': 171.78846153846155}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,25,front,,Abnormal Gait,myopathic,"{'top': 73.3076923076923, 'left': 400.3076923076923, 'height': 351.15384615384613, 'width': 172.69230769230768}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,26,front,,Abnormal Gait,myopathic,"{'top': 72.90384615384616, 'left': 399.90384615384613, 'height': 352.0769230769231, 'width': 173.59615384615387}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,27,front,,Abnormal Gait,myopathic,"{'top': 72.5, 'left': 399.5, 'height': 353.0, 'width': 174.5}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,28,front,,Abnormal Gait,myopathic,"{'top': 72.09615384615384, 'left': 399.09615384615387, 'height': 353.9230769230769, 'width': 175.40384615384613}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,29,front,,Abnormal Gait,myopathic,"{'top': 71.6923076923077, 'left': 398.6923076923077, 'height': 354.84615384615387, 'width': 176.30769230769232}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,30,front,,Abnormal Gait,myopathic,"{'top': 71.28846153846153, 'left': 398.28846153846155, 'height': 355.7692307692308, 'width': 177.21153846153845}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawb5nf00043n6l38chxsod,31,front,,Abnormal Gait,myopathic,"{'top': 70.88461538461539, 'left': 397.88461538461536, 'height': 356.69230769230774, 'width': 178.11538461538464}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
