seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljawd01m00093n6l4kx9020l,383,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 376.0, 'height': 589.0, 'width': 286.0}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawd01m00093n6l4kx9020l,384,back,,Abnormal Gait,myopathic,"{'top': 1.333333333333333, 'left': 376.6666666666667, 'height': 585.8888888888888, 'width': 286.5555555555555}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawd01m00093n6l4kx9020l,385,back,,Abnormal Gait,myopathic,"{'top': 2.666666666666666, 'left': 377.3333333333333, 'height': 582.7777777777778, 'width': 287.11111111111114}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawd01m00093n6l4kx9020l,386,back,,Abnormal Gait,myopathic,"{'top': 4.0, 'left': 378.0, 'height': 579.6666666666666, 'width': 287.66666666666663}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawd01m00093n6l4kx9020l,387,back,,Abnormal Gait,myopathic,"{'top': 5.333333333333333, 'left': 378.6666666666667, 'height': 576.5555555555555, 'width': 288.22222222222223}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawd01m00093n6l4kx9020l,388,back,,Abnormal Gait,myopathic,"{'top': 6.666666666666667, 'left': 379.3333333333333, 'height': 573.4444444444445, 'width': 288.77777777777777}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawd01m00093n6l4kx9020l,389,back,,Abnormal Gait,myopathic,"{'top': 8.0, 'left': 380.0, 'height': 570.3333333333334, 'width': 289.33333333333337}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawd01m00093n6l4kx9020l,390,back,,Abnormal Gait,myopathic,"{'top': 9.333333333333334, 'left': 380.6666666666667, 'height': 567.2222222222222, 'width': 289.88888888888886}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawd01m00093n6l4kx9020l,391,back,,Abnormal Gait,myopathic,"{'top': 10.666666666666666, 'left': 381.3333333333333, 'height': 564.1111111111112, 'width': 290.4444444444445}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
cljawd01m00093n6l4kx9020l,392,back,,Abnormal Gait,myopathic,"{'top': 12.0, 'left': 382.0, 'height': 561.0, 'width': 291.0}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg
