seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr5pdec00103n6lxb9mplvp,556,front,,Abnormal Gait,myopathic,"{'top': 138.0, 'left': 121.0, 'height': 89.0, 'width': 37.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0
cljr5pdec00103n6lxb9mplvp,557,front,,Abnormal Gait,myopathic,"{'top': 137.91228070175438, 'left': 120.93333333333334, 'height': 89.2982456140351, 'width': 37.12631578947369}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0
cljr5pdec00103n6lxb9mplvp,558,front,,Abnormal Gait,myopathic,"{'top': 137.82456140350877, 'left': 120.86666666666666, 'height': 89.59649122807019, 'width': 37.25263157894737}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0
cljr5pdec00103n6lxb9mplvp,559,front,,Abnormal Gait,myopathic,"{'top': 137.73684210526315, 'left': 120.8, 'height': 89.89473684210526, 'width': 37.378947368421066}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0
cljr5pdec00103n6lxb9mplvp,560,front,,Abnormal Gait,myopathic,"{'top': 137.64912280701753, 'left': 120.73333333333333, 'height': 90.19298245614036, 'width': 37.50526315789473}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0
cljr5pdec00103n6lxb9mplvp,561,front,,Abnormal Gait,myopathic,"{'top': 137.56140350877192, 'left': 120.66666666666667, 'height': 90.49122807017545, 'width': 37.631578947368425}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0
cljr5pdec00103n6lxb9mplvp,562,front,,Abnormal Gait,myopathic,"{'top': 137.47368421052633, 'left': 120.6, 'height': 90.78947368421052, 'width': 37.757894736842104}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0
cljr5pdec00103n6lxb9mplvp,563,front,,Abnormal Gait,myopathic,"{'top': 137.3859649122807, 'left': 120.53333333333333, 'height': 91.08771929824562, 'width': 37.8842105263158}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0
cljr5pdec00103n6lxb9mplvp,564,front,,Abnormal Gait,myopathic,"{'top': 137.2982456140351, 'left': 120.46666666666667, 'height': 91.38596491228068, 'width': 38.01052631578946}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0
cljr5pdec00103n6lxb9mplvp,565,front,,Abnormal Gait,myopathic,"{'top': 137.21052631578948, 'left': 120.4, 'height': 91.68421052631578, 'width': 38.136842105263156}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0
