seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr5wgkf001w3n6lwp1w3wlu,429,back,,Abnormal Gait,myopathic,"{'top': 77.0, 'left': 353.0, 'height': 617.0, 'width': 226.0}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,430,back,,Abnormal Gait,myopathic,"{'top': 78.9322033898305, 'left': 354.1694915254237, 'height': 611.1525423728814, 'width': 224.2033898305085}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,431,back,,Abnormal Gait,myopathic,"{'top': 80.86440677966101, 'left': 355.33898305084745, 'height': 605.3050847457628, 'width': 222.4067796610169}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,432,back,,Abnormal Gait,myopathic,"{'top': 82.79661016949153, 'left': 356.50847457627117, 'height': 599.4576271186442, 'width': 220.61016949152543}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,433,back,,Abnormal Gait,myopathic,"{'top': 84.72881355932203, 'left': 357.6779661016949, 'height': 593.6101694915254, 'width': 218.81355932203394}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,434,back,,Abnormal Gait,myopathic,"{'top': 86.66101694915254, 'left': 358.8474576271186, 'height': 587.7627118644068, 'width': 217.01694915254245}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,435,back,,Abnormal Gait,myopathic,"{'top': 88.59322033898306, 'left': 360.0169491525424, 'height': 581.9152542372881, 'width': 215.2203389830508}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,436,back,,Abnormal Gait,myopathic,"{'top': 90.52542372881356, 'left': 361.1864406779661, 'height': 576.0677966101696, 'width': 213.4237288135593}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,437,back,,Abnormal Gait,myopathic,"{'top': 92.45762711864407, 'left': 362.35593220338984, 'height': 570.2203389830509, 'width': 211.62711864406782}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,438,back,,Abnormal Gait,myopathic,"{'top': 94.38983050847457, 'left': 363.52542372881356, 'height': 564.3728813559322, 'width': 209.83050847457622}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,439,back,,Abnormal Gait,myopathic,"{'top': 96.32203389830508, 'left': 364.6949152542373, 'height': 558.5254237288135, 'width': 208.03389830508473}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,440,back,,Abnormal Gait,myopathic,"{'top': 98.2542372881356, 'left': 365.864406779661, 'height': 552.6779661016949, 'width': 206.23728813559325}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,441,back,,Abnormal Gait,myopathic,"{'top': 100.1864406779661, 'left': 367.03389830508473, 'height': 546.8305084745763, 'width': 204.44067796610176}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,442,back,,Abnormal Gait,myopathic,"{'top': 102.11864406779661, 'left': 368.20338983050846, 'height': 540.9830508474577, 'width': 202.64406779661016}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,443,back,,Abnormal Gait,myopathic,"{'top': 104.05084745762711, 'left': 369.3728813559322, 'height': 535.1355932203389, 'width': 200.84745762711867}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,444,back,,Abnormal Gait,myopathic,"{'top': 105.98305084745763, 'left': 370.54237288135596, 'height': 529.2881355932203, 'width': 199.05084745762713}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,445,back,,Abnormal Gait,myopathic,"{'top': 107.91525423728814, 'left': 371.7118644067797, 'height': 523.4406779661017, 'width': 197.25423728813553}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,446,back,,Abnormal Gait,myopathic,"{'top': 109.84745762711864, 'left': 372.8813559322034, 'height': 517.5932203389831, 'width': 195.45762711864404}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,447,back,,Abnormal Gait,myopathic,"{'top': 111.77966101694915, 'left': 374.0508474576271, 'height': 511.74576271186436, 'width': 193.66101694915255}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,448,back,,Abnormal Gait,myopathic,"{'top': 113.71186440677965, 'left': 375.22033898305085, 'height': 505.89830508474574, 'width': 191.86440677966107}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,449,back,,Abnormal Gait,myopathic,"{'top': 115.64406779661016, 'left': 376.3898305084746, 'height': 500.05084745762707, 'width': 190.06779661016947}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,450,back,,Abnormal Gait,myopathic,"{'top': 117.57627118644068, 'left': 377.5593220338983, 'height': 494.20338983050846, 'width': 188.27118644067798}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,451,back,,Abnormal Gait,myopathic,"{'top': 119.5084745762712, 'left': 378.728813559322, 'height': 488.3559322033899, 'width': 186.4745762711865}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,452,back,,Abnormal Gait,myopathic,"{'top': 121.4406779661017, 'left': 379.89830508474574, 'height': 482.50847457627117, 'width': 184.6779661016949}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,453,back,,Abnormal Gait,myopathic,"{'top': 123.37288135593221, 'left': 381.06779661016947, 'height': 476.66101694915244, 'width': 182.8813559322034}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,454,back,,Abnormal Gait,myopathic,"{'top': 125.30508474576271, 'left': 382.2372881355932, 'height': 470.8135593220339, 'width': 181.08474576271192}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
cljr5wgkf001w3n6lwp1w3wlu,455,back,,Abnormal Gait,myopathic,"{'top': 127.23728813559322, 'left': 383.40677966101697, 'height': 464.9661016949153, 'width': 179.28813559322026}","{'height': 720, 'width': 960, 'mime_type': 'video/mp4'}",8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY
