seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr6zqwu001l3n6lc40rmemx,1486,left side,,Abnormal Gait,myopathic,"{'top': 85.0, 'left': 702.0, 'height': 338.0, 'width': 99.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs
cljr6zqwu001l3n6lc40rmemx,1487,left side,,Abnormal Gait,myopathic,"{'top': 85.0, 'left': 697.6666666666666, 'height': 340.5, 'width': 107.16666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs
cljr6zqwu001l3n6lc40rmemx,1488,left side,,Abnormal Gait,myopathic,"{'top': 85.0, 'left': 693.3333333333334, 'height': 343.0, 'width': 115.33333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs
cljr6zqwu001l3n6lc40rmemx,1489,left side,,Abnormal Gait,myopathic,"{'top': 85.0, 'left': 689.0, 'height': 345.5, 'width': 123.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs
cljr6zqwu001l3n6lc40rmemx,1490,left side,,Abnormal Gait,myopathic,"{'top': 85.0, 'left': 684.6666666666666, 'height': 348.0, 'width': 131.66666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs
cljr6zqwu001l3n6lc40rmemx,1491,left side,,Abnormal Gait,myopathic,"{'top': 85.0, 'left': 680.3333333333334, 'height': 350.5, 'width': 139.83333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs
cljr6zqwu001l3n6lc40rmemx,1492,left side,,Abnormal Gait,myopathic,"{'top': 85.0, 'left': 676.0, 'height': 353.0, 'width': 148.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs
cljr6zqwu001l3n6lc40rmemx,1493,left side,,Abnormal Gait,myopathic,"{'top': 85.06666666666666, 'left': 674.5333333333333, 'height': 353.0, 'width': 148.66666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs
cljr6zqwu001l3n6lc40rmemx,1494,left side,,Abnormal Gait,myopathic,"{'top': 85.13333333333334, 'left': 673.0666666666667, 'height': 353.0, 'width': 149.33333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs
cljr6zqwu001l3n6lc40rmemx,1495,left side,,Abnormal Gait,myopathic,"{'top': 85.2, 'left': 671.6, 'height': 353.0, 'width': 150.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs
