seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo33m8400263n6l4xxsl6ku,754,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,755,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,756,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,757,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,758,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,759,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,760,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,761,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,762,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,763,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,764,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,765,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,766,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,767,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,768,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,769,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,770,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,771,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,772,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,773,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,774,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,775,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,776,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,777,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,778,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,779,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,780,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,781,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,782,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,783,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,784,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,785,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,786,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,787,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,788,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,789,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,790,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,791,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,792,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,793,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,794,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo33m8400263n6l4xxsl6ku,795,back,,Abnormal Gait,normal,"{'top': 0.0, 'left': 257.0, 'height': 480.0, 'width': 174.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
