seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljnz7jnj000w3n6lku3pfvtm,1797,front,,Abnormal Gait,parkinsons,"{'top': 51.0, 'left': 196.0, 'height': 153.0, 'width': 63.0}","{'height': 360, 'width': 482, 'mime_type': 'video/mp4'}",_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM
cljnz7jnj000w3n6lku3pfvtm,1798,front,,Abnormal Gait,parkinsons,"{'top': 50.833333333333336, 'left': 194.5, 'height': 154.5, 'width': 64.91666666666669}","{'height': 360, 'width': 482, 'mime_type': 'video/mp4'}",_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM
cljnz7jnj000w3n6lku3pfvtm,1799,front,,Abnormal Gait,parkinsons,"{'top': 50.666666666666664, 'left': 193.0, 'height': 156.0, 'width': 66.83333333333331}","{'height': 360, 'width': 482, 'mime_type': 'video/mp4'}",_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM
cljnz7jnj000w3n6lku3pfvtm,1800,front,,Abnormal Gait,parkinsons,"{'top': 50.5, 'left': 191.5, 'height': 157.5, 'width': 68.75}","{'height': 360, 'width': 482, 'mime_type': 'video/mp4'}",_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM
cljnz7jnj000w3n6lku3pfvtm,1801,front,,Abnormal Gait,parkinsons,"{'top': 50.333333333333336, 'left': 190.0, 'height': 159.0, 'width': 70.66666666666669}","{'height': 360, 'width': 482, 'mime_type': 'video/mp4'}",_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM
cljnz7jnj000w3n6lku3pfvtm,1802,front,,Abnormal Gait,parkinsons,"{'top': 50.166666666666664, 'left': 188.5, 'height': 160.5, 'width': 72.58333333333331}","{'height': 360, 'width': 482, 'mime_type': 'video/mp4'}",_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM
cljnz7jnj000w3n6lku3pfvtm,1803,front,,Abnormal Gait,parkinsons,"{'top': 50.0, 'left': 187.0, 'height': 162.0, 'width': 74.5}","{'height': 360, 'width': 482, 'mime_type': 'video/mp4'}",_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM
cljnz7jnj000w3n6lku3pfvtm,1804,front,,Abnormal Gait,parkinsons,"{'top': 49.833333333333336, 'left': 185.5, 'height': 163.5, 'width': 76.41666666666669}","{'height': 360, 'width': 482, 'mime_type': 'video/mp4'}",_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM
cljnz7jnj000w3n6lku3pfvtm,1805,front,,Abnormal Gait,parkinsons,"{'top': 49.666666666666664, 'left': 184.0, 'height': 165.0, 'width': 78.33333333333331}","{'height': 360, 'width': 482, 'mime_type': 'video/mp4'}",_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM
cljnz7jnj000w3n6lku3pfvtm,1806,front,,Abnormal Gait,parkinsons,"{'top': 49.5, 'left': 182.5, 'height': 166.5, 'width': 80.25}","{'height': 360, 'width': 482, 'mime_type': 'video/mp4'}",_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM
