seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljapkbp500613n6lnp0i73x0,2951,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 502.0, 'height': 620.0, 'width': 300.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapkbp500613n6lnp0i73x0,2952,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 502.0, 'height': 619.9252873563219, 'width': 299.7183908045977}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapkbp500613n6lnp0i73x0,2953,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 502.0, 'height': 619.8505747126437, 'width': 299.43678160919535}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapkbp500613n6lnp0i73x0,2954,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 502.0, 'height': 619.7758620689655, 'width': 299.15517241379314}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapkbp500613n6lnp0i73x0,2955,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 502.0, 'height': 619.7011494252873, 'width': 298.8735632183908}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapkbp500613n6lnp0i73x0,2956,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 502.0, 'height': 619.6264367816092, 'width': 298.5919540229885}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapkbp500613n6lnp0i73x0,2957,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 502.0, 'height': 619.551724137931, 'width': 298.31034482758616}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapkbp500613n6lnp0i73x0,2958,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 502.0, 'height': 619.4770114942529, 'width': 298.02873563218395}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapkbp500613n6lnp0i73x0,2959,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 502.0, 'height': 619.4022988505748, 'width': 297.7471264367816}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapkbp500613n6lnp0i73x0,2960,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 502.0, 'height': 619.3275862068965, 'width': 297.4655172413793}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
