seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljapmoo4006d3n6lxdm4mgtx,3976,front,,Abnormal Gait,style,"{'top': 35.0, 'left': 557.0, 'height': 381.0, 'width': 164.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3977,front,,Abnormal Gait,style,"{'top': 33.90625, 'left': 556.15625, 'height': 384.125, 'width': 166.125}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3978,front,,Abnormal Gait,style,"{'top': 32.8125, 'left': 555.3125, 'height': 387.25, 'width': 168.25}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3979,front,,Abnormal Gait,style,"{'top': 31.71875, 'left': 554.46875, 'height': 390.375, 'width': 170.375}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3980,front,,Abnormal Gait,style,"{'top': 30.625, 'left': 553.625, 'height': 393.5, 'width': 172.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3981,front,,Abnormal Gait,style,"{'top': 29.53125, 'left': 552.78125, 'height': 396.625, 'width': 174.625}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3982,front,,Abnormal Gait,style,"{'top': 28.4375, 'left': 551.9375, 'height': 399.75, 'width': 176.75}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3983,front,,Abnormal Gait,style,"{'top': 27.34375, 'left': 551.09375, 'height': 402.875, 'width': 178.875}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3984,front,,Abnormal Gait,style,"{'top': 26.25, 'left': 550.25, 'height': 406.0, 'width': 181.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3985,front,,Abnormal Gait,style,"{'top': 25.15625, 'left': 549.40625, 'height': 409.125, 'width': 183.125}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3986,front,,Abnormal Gait,style,"{'top': 24.0625, 'left': 548.5625, 'height': 412.25, 'width': 185.25}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3987,front,Right initial contact,Abnormal Gait,style,"{'top': 22.96875, 'left': 547.71875, 'height': 415.375, 'width': 187.375}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3988,front,,Abnormal Gait,style,"{'top': 21.875, 'left': 546.875, 'height': 418.5, 'width': 189.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3989,front,,Abnormal Gait,style,"{'top': 20.78125, 'left': 546.03125, 'height': 421.625, 'width': 191.625}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3990,front,,Abnormal Gait,style,"{'top': 19.6875, 'left': 545.1875, 'height': 424.75, 'width': 193.75}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3991,front,,Abnormal Gait,style,"{'top': 18.59375, 'left': 544.34375, 'height': 427.875, 'width': 195.875}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3992,front,,Abnormal Gait,style,"{'top': 17.5, 'left': 543.5, 'height': 431.0, 'width': 198.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3993,front,,Abnormal Gait,style,"{'top': 16.40625, 'left': 542.65625, 'height': 434.125, 'width': 200.125}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3994,front,,Abnormal Gait,style,"{'top': 15.3125, 'left': 541.8125, 'height': 437.25, 'width': 202.25}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3995,front,,Abnormal Gait,style,"{'top': 14.21875, 'left': 540.96875, 'height': 440.375, 'width': 204.375}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3996,front,,Abnormal Gait,style,"{'top': 13.125, 'left': 540.125, 'height': 443.5, 'width': 206.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3997,front,,Abnormal Gait,style,"{'top': 12.03125, 'left': 539.28125, 'height': 446.625, 'width': 208.625}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3998,front,,Abnormal Gait,style,"{'top': 10.9375, 'left': 538.4375, 'height': 449.75, 'width': 210.75}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,3999,front,,Abnormal Gait,style,"{'top': 9.84375, 'left': 537.59375, 'height': 452.875, 'width': 212.875}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,4000,front,,Abnormal Gait,style,"{'top': 8.75, 'left': 536.75, 'height': 456.0, 'width': 215.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapmoo4006d3n6lxdm4mgtx,4001,front,,Abnormal Gait,style,"{'top': 7.65625, 'left': 535.90625, 'height': 459.125, 'width': 217.125}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
