seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljappm1f006t3n6luyx9fn7x,5311,front,,Abnormal Gait,style,"{'top': 35.0, 'left': 559.0, 'height': 390.0, 'width': 168.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5312,front,,Abnormal Gait,style,"{'top': 34.583333333333336, 'left': 558.7261904761905, 'height': 391.6309523809524, 'width': 168.6309523809524}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5313,front,,Abnormal Gait,style,"{'top': 34.166666666666664, 'left': 558.452380952381, 'height': 393.26190476190476, 'width': 169.2619047619047}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5314,front,,Abnormal Gait,style,"{'top': 33.75, 'left': 558.1785714285714, 'height': 394.89285714285717, 'width': 169.8928571428571}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5315,front,,Abnormal Gait,style,"{'top': 33.333333333333336, 'left': 557.9047619047619, 'height': 396.5238095238095, 'width': 170.52380952380952}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5316,front,,Abnormal Gait,style,"{'top': 32.916666666666664, 'left': 557.6309523809524, 'height': 398.15476190476187, 'width': 171.15476190476193}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5317,front,,Abnormal Gait,style,"{'top': 32.5, 'left': 557.3571428571429, 'height': 399.7857142857143, 'width': 171.78571428571422}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5318,front,,Abnormal Gait,style,"{'top': 32.083333333333336, 'left': 557.0833333333334, 'height': 401.4166666666667, 'width': 172.41666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5319,front,,Abnormal Gait,style,"{'top': 31.666666666666668, 'left': 556.8095238095239, 'height': 403.04761904761904, 'width': 173.04761904761904}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5320,front,,Abnormal Gait,style,"{'top': 31.25, 'left': 556.5357142857143, 'height': 404.67857142857144, 'width': 173.67857142857133}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5321,front,,Abnormal Gait,style,"{'top': 30.833333333333336, 'left': 556.2619047619048, 'height': 406.30952380952385, 'width': 174.30952380952374}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5322,front,,Abnormal Gait,style,"{'top': 30.416666666666664, 'left': 555.9880952380952, 'height': 407.94047619047615, 'width': 174.94047619047626}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5323,front,,Abnormal Gait,style,"{'top': 30.0, 'left': 555.7142857142857, 'height': 409.57142857142856, 'width': 175.57142857142867}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5324,front,,Abnormal Gait,style,"{'top': 29.583333333333332, 'left': 555.4404761904761, 'height': 411.20238095238096, 'width': 176.20238095238096}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5325,front,,Abnormal Gait,style,"{'top': 29.166666666666668, 'left': 555.1666666666666, 'height': 412.8333333333333, 'width': 176.83333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljappm1f006t3n6luyx9fn7x,5326,front,,Abnormal Gait,style,"{'top': 28.75, 'left': 554.8928571428571, 'height': 414.4642857142857, 'width': 177.46428571428578}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
