seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljapw5z9007o3n6lx3gdpodt,7941,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 654.0, 'width': 292.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7942,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 655.5833333333334, 'width': 295.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7943,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 657.1666666666666, 'width': 299.33333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7944,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 658.75, 'width': 303.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7945,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 660.3333333333334, 'width': 306.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7946,back,Right initial contact,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 661.9166666666666, 'width': 310.33333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7947,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 663.5, 'width': 314.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7948,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 665.0833333333334, 'width': 317.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7949,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 666.6666666666666, 'width': 321.33333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7950,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 668.25, 'width': 325.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7951,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 669.8333333333334, 'width': 328.66666666666663}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7952,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 671.4166666666666, 'width': 332.33333333333337}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7953,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0, 'height': 673.0, 'width': 336.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7954,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.010101010101, 'height': 672.7676767676768, 'width': 335.76767676767685}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7955,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.020202020202, 'height': 672.5353535353536, 'width': 335.5353535353535}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7956,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.030303030303, 'height': 672.3030303030303, 'width': 335.30303030303037}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7957,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.04040404040404, 'height': 672.070707070707, 'width': 335.07070707070704}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7958,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.050505050505, 'height': 671.8383838383838, 'width': 334.8383838383839}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7959,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.06060606060606, 'height': 671.6060606060606, 'width': 334.60606060606057}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7960,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.07070707070704, 'height': 671.3737373737374, 'width': 334.3737373737374}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7961,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.0808080808081, 'height': 671.1414141414141, 'width': 334.1414141414141}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7962,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.09090909090907, 'height': 670.9090909090909, 'width': 333.90909090909093}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7963,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.1010101010101, 'height': 670.6767676767677, 'width': 333.6767676767677}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7964,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.1111111111111, 'height': 670.4444444444445, 'width': 333.44444444444446}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7965,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.1212121212121, 'height': 670.2121212121212, 'width': 333.21212121212125}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7966,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.1313131313131, 'height': 669.979797979798, 'width': 332.979797979798}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7967,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.14141414141415, 'height': 669.7474747474747, 'width': 332.74747474747477}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7968,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.1515151515151, 'height': 669.5151515151515, 'width': 332.5151515151515}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7969,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.16161616161617, 'height': 669.2828282828283, 'width': 332.2828282828283}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7970,back,Left initial contact,Abnormal Gait,style,"{'top': 0.0, 'left': 447.17171717171715, 'height': 669.0505050505051, 'width': 332.050505050505}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7971,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.1818181818182, 'height': 668.8181818181819, 'width': 331.8181818181818}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7972,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.19191919191917, 'height': 668.5858585858585, 'width': 331.58585858585866}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7973,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.2020202020202, 'height': 668.3535353535353, 'width': 331.35353535353534}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7974,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.2121212121212, 'height': 668.1212121212121, 'width': 331.1212121212122}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7975,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.22222222222223, 'height': 667.8888888888889, 'width': 330.88888888888886}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7976,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.2323232323232, 'height': 667.6565656565657, 'width': 330.6565656565657}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7977,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.24242424242425, 'height': 667.4242424242424, 'width': 330.4242424242424}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7978,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.25252525252523, 'height': 667.1919191919192, 'width': 330.1919191919192}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7979,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.26262626262627, 'height': 666.959595959596, 'width': 329.9595959595959}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7980,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.27272727272725, 'height': 666.7272727272727, 'width': 329.72727272727275}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7981,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.2828282828283, 'height': 666.4949494949495, 'width': 329.49494949494954}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7982,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.2929292929293, 'height': 666.2626262626262, 'width': 329.26262626262627}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7983,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.3030303030303, 'height': 666.030303030303, 'width': 329.03030303030306}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7984,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.3131313131313, 'height': 665.7979797979798, 'width': 328.7979797979798}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7985,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.32323232323233, 'height': 665.5656565656566, 'width': 328.5656565656566}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7986,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.3333333333333, 'height': 665.3333333333334, 'width': 328.3333333333333}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7987,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.34343434343435, 'height': 665.10101010101, 'width': 328.1010101010101}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7988,back,Right initial contact,Abnormal Gait,style,"{'top': 0.0, 'left': 447.35353535353534, 'height': 664.8686868686868, 'width': 327.86868686868684}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7989,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.3636363636364, 'height': 664.6363636363636, 'width': 327.6363636363636}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7990,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.37373737373736, 'height': 664.4040404040404, 'width': 327.4040404040405}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7991,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.3838383838384, 'height': 664.1717171717172, 'width': 327.17171717171715}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7992,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.3939393939394, 'height': 663.939393939394, 'width': 326.939393939394}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7993,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.4040404040404, 'height': 663.7070707070707, 'width': 326.70707070707067}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7994,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.4141414141414, 'height': 663.4747474747475, 'width': 326.4747474747475}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7995,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.42424242424244, 'height': 663.2424242424242, 'width': 326.2424242424242}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7996,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.4343434343434, 'height': 663.010101010101, 'width': 326.01010101010104}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7997,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.44444444444446, 'height': 662.7777777777778, 'width': 325.7777777777777}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7998,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.45454545454544, 'height': 662.5454545454545, 'width': 325.54545454545456}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,7999,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.4646464646465, 'height': 662.3131313131313, 'width': 325.31313131313135}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapw5z9007o3n6lx3gdpodt,8000,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 447.47474747474746, 'height': 662.0808080808081, 'width': 325.0808080808081}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
