seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljapxthz007w3n6l8asb771a,8866,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 557.0, 'height': 629.0, 'width': 268.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8867,back,,Abnormal Gait,style,"{'top': 0.16666666666666602, 'left': 555.1111111111111, 'height': 629.0555555555555, 'width': 269.6111111111111}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8868,back,,Abnormal Gait,style,"{'top': 0.33333333333333304, 'left': 553.2222222222222, 'height': 629.1111111111111, 'width': 271.2222222222223}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8869,back,Left initial contact,Abnormal Gait,style,"{'top': 0.5, 'left': 551.3333333333334, 'height': 629.1666666666666, 'width': 272.83333333333326}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8870,back,,Abnormal Gait,style,"{'top': 0.6666666666666661, 'left': 549.4444444444445, 'height': 629.2222222222223, 'width': 274.44444444444446}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8871,back,,Abnormal Gait,style,"{'top': 0.833333333333333, 'left': 547.5555555555555, 'height': 629.2777777777777, 'width': 276.05555555555554}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8872,back,,Abnormal Gait,style,"{'top': 1.0, 'left': 545.6666666666666, 'height': 629.3333333333334, 'width': 277.66666666666674}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8873,back,,Abnormal Gait,style,"{'top': 1.166666666666666, 'left': 543.7777777777778, 'height': 629.3888888888889, 'width': 279.2777777777777}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8874,back,,Abnormal Gait,style,"{'top': 1.333333333333333, 'left': 541.8888888888889, 'height': 629.4444444444445, 'width': 280.8888888888889}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8875,back,,Abnormal Gait,style,"{'top': 1.5, 'left': 540.0, 'height': 629.5, 'width': 282.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8876,back,,Abnormal Gait,style,"{'top': 1.666666666666666, 'left': 538.1111111111111, 'height': 629.5555555555555, 'width': 284.1111111111111}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8877,back,,Abnormal Gait,style,"{'top': 1.833333333333333, 'left': 536.2222222222222, 'height': 629.6111111111111, 'width': 285.7222222222223}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8878,back,,Abnormal Gait,style,"{'top': 2.0, 'left': 534.3333333333334, 'height': 629.6666666666666, 'width': 287.33333333333326}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8879,back,,Abnormal Gait,style,"{'top': 2.166666666666666, 'left': 532.4444444444445, 'height': 629.7222222222223, 'width': 288.94444444444446}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8880,back,,Abnormal Gait,style,"{'top': 2.333333333333333, 'left': 530.5555555555555, 'height': 629.7777777777777, 'width': 290.55555555555554}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8881,back,,Abnormal Gait,style,"{'top': 2.5, 'left': 528.6666666666666, 'height': 629.8333333333334, 'width': 292.16666666666674}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8882,back,,Abnormal Gait,style,"{'top': 2.666666666666666, 'left': 526.7777777777778, 'height': 629.8888888888889, 'width': 293.7777777777777}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8883,back,,Abnormal Gait,style,"{'top': 2.833333333333333, 'left': 524.8888888888889, 'height': 629.9444444444445, 'width': 295.3888888888889}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8884,back,,Abnormal Gait,style,"{'top': 3.0, 'left': 523.0, 'height': 630.0, 'width': 297.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8885,back,,Abnormal Gait,style,"{'top': 2.9615384615384612, 'left': 523.2884615384615, 'height': 629.2307692307693, 'width': 296.4038461538462}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8886,back,,Abnormal Gait,style,"{'top': 2.923076923076923, 'left': 523.5769230769231, 'height': 628.4615384615385, 'width': 295.80769230769226}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8887,back,,Abnormal Gait,style,"{'top': 2.884615384615384, 'left': 523.8653846153846, 'height': 627.6923076923077, 'width': 295.21153846153845}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8888,back,,Abnormal Gait,style,"{'top': 2.846153846153846, 'left': 524.1538461538462, 'height': 626.9230769230769, 'width': 294.6153846153845}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8889,back,,Abnormal Gait,style,"{'top': 2.807692307692307, 'left': 524.4423076923077, 'height': 626.1538461538462, 'width': 294.0192307692307}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8890,back,,Abnormal Gait,style,"{'top': 2.769230769230769, 'left': 524.7307692307693, 'height': 625.3846153846155, 'width': 293.4230769230769}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8891,back,,Abnormal Gait,style,"{'top': 2.730769230769231, 'left': 525.0192307692307, 'height': 624.6153846153845, 'width': 292.8269230769231}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8892,back,,Abnormal Gait,style,"{'top': 2.692307692307692, 'left': 525.3076923076923, 'height': 623.8461538461538, 'width': 292.2307692307693}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8893,back,,Abnormal Gait,style,"{'top': 2.6538461538461533, 'left': 525.5961538461538, 'height': 623.0769230769231, 'width': 291.6346153846155}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8894,back,,Abnormal Gait,style,"{'top': 2.615384615384615, 'left': 525.8846153846154, 'height': 622.3076923076923, 'width': 291.03846153846155}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8895,back,,Abnormal Gait,style,"{'top': 2.576923076923077, 'left': 526.1730769230769, 'height': 621.5384615384615, 'width': 290.44230769230774}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8896,back,,Abnormal Gait,style,"{'top': 2.538461538461538, 'left': 526.4615384615385, 'height': 620.7692307692307, 'width': 289.8461538461538}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8897,back,,Abnormal Gait,style,"{'top': 2.5, 'left': 526.75, 'height': 620.0, 'width': 289.25}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8898,back,,Abnormal Gait,style,"{'top': 2.461538461538461, 'left': 527.0384615384615, 'height': 619.2307692307693, 'width': 288.6538461538462}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8899,back,,Abnormal Gait,style,"{'top': 2.423076923076923, 'left': 527.3269230769231, 'height': 618.4615384615385, 'width': 288.05769230769226}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8900,back,,Abnormal Gait,style,"{'top': 2.384615384615384, 'left': 527.6153846153846, 'height': 617.6923076923077, 'width': 287.46153846153845}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8901,back,,Abnormal Gait,style,"{'top': 2.346153846153846, 'left': 527.9038461538462, 'height': 616.9230769230769, 'width': 286.8653846153845}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8902,back,,Abnormal Gait,style,"{'top': 2.307692307692307, 'left': 528.1923076923077, 'height': 616.1538461538462, 'width': 286.2692307692307}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8903,back,Right initial contact,Abnormal Gait,style,"{'top': 2.269230769230769, 'left': 528.4807692307693, 'height': 615.3846153846155, 'width': 285.6730769230769}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8904,back,,Abnormal Gait,style,"{'top': 2.230769230769231, 'left': 528.7692307692307, 'height': 614.6153846153845, 'width': 285.0769230769231}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8905,back,,Abnormal Gait,style,"{'top': 2.192307692307692, 'left': 529.0576923076923, 'height': 613.8461538461538, 'width': 284.4807692307693}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8906,back,,Abnormal Gait,style,"{'top': 2.153846153846153, 'left': 529.3461538461538, 'height': 613.0769230769231, 'width': 283.8846153846155}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8907,back,,Abnormal Gait,style,"{'top': 2.115384615384615, 'left': 529.6346153846154, 'height': 612.3076923076923, 'width': 283.28846153846155}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8908,back,,Abnormal Gait,style,"{'top': 2.076923076923076, 'left': 529.9230769230769, 'height': 611.5384615384615, 'width': 282.69230769230774}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8909,back,,Abnormal Gait,style,"{'top': 2.038461538461538, 'left': 530.2115384615385, 'height': 610.7692307692307, 'width': 282.0961538461538}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8910,back,,Abnormal Gait,style,"{'top': 2.0, 'left': 530.5, 'height': 610.0, 'width': 281.5}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8911,back,,Abnormal Gait,style,"{'top': 1.9615384615384612, 'left': 530.7884615384615, 'height': 609.2307692307693, 'width': 280.9038461538462}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8912,back,,Abnormal Gait,style,"{'top': 1.923076923076923, 'left': 531.0769230769231, 'height': 608.4615384615385, 'width': 280.30769230769226}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8913,back,,Abnormal Gait,style,"{'top': 1.8846153846153841, 'left': 531.3653846153846, 'height': 607.6923076923077, 'width': 279.71153846153845}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8914,back,,Abnormal Gait,style,"{'top': 1.846153846153846, 'left': 531.6538461538462, 'height': 606.9230769230769, 'width': 279.1153846153845}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8915,back,,Abnormal Gait,style,"{'top': 1.807692307692307, 'left': 531.9423076923077, 'height': 606.1538461538462, 'width': 278.5192307692307}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8916,back,,Abnormal Gait,style,"{'top': 1.7692307692307692, 'left': 532.2307692307693, 'height': 605.3846153846155, 'width': 277.9230769230769}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8917,back,,Abnormal Gait,style,"{'top': 1.73076923076923, 'left': 532.5192307692307, 'height': 604.6153846153845, 'width': 277.3269230769231}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8918,back,,Abnormal Gait,style,"{'top': 1.692307692307692, 'left': 532.8076923076923, 'height': 603.8461538461538, 'width': 276.7307692307693}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8919,back,,Abnormal Gait,style,"{'top': 1.653846153846153, 'left': 533.0961538461538, 'height': 603.0769230769231, 'width': 276.1346153846155}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8920,back,,Abnormal Gait,style,"{'top': 1.615384615384615, 'left': 533.3846153846154, 'height': 602.3076923076923, 'width': 275.53846153846155}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8921,back,,Abnormal Gait,style,"{'top': 1.5769230769230762, 'left': 533.6730769230769, 'height': 601.5384615384615, 'width': 274.94230769230774}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8922,back,,Abnormal Gait,style,"{'top': 1.5384615384615379, 'left': 533.9615384615385, 'height': 600.7692307692307, 'width': 274.3461538461538}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8923,back,,Abnormal Gait,style,"{'top': 1.5, 'left': 534.25, 'height': 600.0, 'width': 273.75}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8924,back,,Abnormal Gait,style,"{'top': 1.461538461538461, 'left': 534.5384615384615, 'height': 599.2307692307693, 'width': 273.1538461538462}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapxthz007w3n6l8asb771a,8925,back,,Abnormal Gait,style,"{'top': 1.423076923076923, 'left': 534.8269230769231, 'height': 598.4615384615385, 'width': 272.55769230769226}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
