seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljapynp700803n6ln0u4afvp,9241,front,,Abnormal Gait,style,"{'top': 37.0, 'left': 533.0, 'height': 386.0, 'width': 160.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9242,front,,Abnormal Gait,style,"{'top': 36.68695652173913, 'left': 532.9652173913043, 'height': 387.46086956521737, 'width': 160.5565217391304}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9243,front,,Abnormal Gait,style,"{'top': 36.37391304347826, 'left': 532.9304347826087, 'height': 388.9217391304348, 'width': 161.11304347826092}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9244,front,,Abnormal Gait,style,"{'top': 36.06086956521739, 'left': 532.895652173913, 'height': 390.38260869565215, 'width': 161.66956521739132}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9245,front,,Abnormal Gait,style,"{'top': 35.74782608695652, 'left': 532.8608695652174, 'height': 391.8434782608696, 'width': 162.22608695652173}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9246,front,,Abnormal Gait,style,"{'top': 35.434782608695656, 'left': 532.8260869565217, 'height': 393.304347826087, 'width': 162.78260869565213}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9247,front,,Abnormal Gait,style,"{'top': 35.12173913043478, 'left': 532.7913043478261, 'height': 394.76521739130436, 'width': 163.33913043478265}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9248,front,,Abnormal Gait,style,"{'top': 34.80869565217391, 'left': 532.7565217391304, 'height': 396.2260869565217, 'width': 163.89565217391305}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9249,front,,Abnormal Gait,style,"{'top': 34.495652173913044, 'left': 532.7217391304348, 'height': 397.68695652173915, 'width': 164.45217391304345}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9250,front,,Abnormal Gait,style,"{'top': 34.18260869565217, 'left': 532.6869565217391, 'height': 399.1478260869565, 'width': 165.00869565217386}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9251,front,,Abnormal Gait,style,"{'top': 33.869565217391305, 'left': 532.6521739130435, 'height': 400.6086956521739, 'width': 165.56521739130437}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9252,front,,Abnormal Gait,style,"{'top': 33.55652173913043, 'left': 532.6173913043478, 'height': 402.0695652173913, 'width': 166.12173913043478}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9253,front,,Abnormal Gait,style,"{'top': 33.243478260869566, 'left': 532.5826086956522, 'height': 403.5304347826087, 'width': 166.67826086956518}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9254,front,,Abnormal Gait,style,"{'top': 32.9304347826087, 'left': 532.5478260869565, 'height': 404.9913043478261, 'width': 167.23478260869558}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9255,front,,Abnormal Gait,style,"{'top': 32.61739130434783, 'left': 532.5130434782609, 'height': 406.45217391304345, 'width': 167.7913043478261}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9256,front,,Abnormal Gait,style,"{'top': 32.30434782608695, 'left': 532.4782608695652, 'height': 407.9130434782609, 'width': 168.3478260869565}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9257,front,,Abnormal Gait,style,"{'top': 31.991304347826087, 'left': 532.4434782608696, 'height': 409.37391304347824, 'width': 168.9043478260869}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9258,front,,Abnormal Gait,style,"{'top': 31.678260869565218, 'left': 532.408695652174, 'height': 410.83478260869566, 'width': 169.4608695652173}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9259,front,,Abnormal Gait,style,"{'top': 31.36521739130435, 'left': 532.3739130434783, 'height': 412.2956521739131, 'width': 170.01739130434783}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9260,front,,Abnormal Gait,style,"{'top': 31.05217391304348, 'left': 532.3391304347826, 'height': 413.75652173913045, 'width': 170.57391304347823}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9261,front,,Abnormal Gait,style,"{'top': 30.73913043478261, 'left': 532.304347826087, 'height': 415.2173913043478, 'width': 171.13043478260863}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9262,front,,Abnormal Gait,style,"{'top': 30.42608695652174, 'left': 532.2695652173913, 'height': 416.67826086956524, 'width': 171.68695652173903}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9263,front,,Abnormal Gait,style,"{'top': 30.11304347826087, 'left': 532.2347826086957, 'height': 418.1391304347826, 'width': 172.24347826086955}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9264,front,,Abnormal Gait,style,"{'top': 29.8, 'left': 532.2, 'height': 419.59999999999997, 'width': 172.79999999999995}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9265,front,,Abnormal Gait,style,"{'top': 29.48695652173913, 'left': 532.1652173913044, 'height': 421.06086956521744, 'width': 173.35652173913036}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9266,front,,Abnormal Gait,style,"{'top': 29.17391304347826, 'left': 532.1304347826087, 'height': 422.5217391304348, 'width': 173.91304347826087}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9267,front,,Abnormal Gait,style,"{'top': 28.860869565217392, 'left': 532.0956521739131, 'height': 423.9826086956522, 'width': 174.46956521739128}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9268,front,,Abnormal Gait,style,"{'top': 28.54782608695652, 'left': 532.0608695652174, 'height': 425.4434782608696, 'width': 175.02608695652168}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9269,front,Left initial contact,Abnormal Gait,style,"{'top': 28.234782608695653, 'left': 532.0260869565218, 'height': 426.90434782608696, 'width': 175.58260869565208}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9270,front,,Abnormal Gait,style,"{'top': 27.921739130434784, 'left': 531.991304347826, 'height': 428.3652173913043, 'width': 176.13913043478271}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9271,front,,Abnormal Gait,style,"{'top': 27.608695652173914, 'left': 531.9565217391304, 'height': 429.8260869565217, 'width': 176.69565217391312}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9272,front,,Abnormal Gait,style,"{'top': 27.295652173913044, 'left': 531.9217391304347, 'height': 431.28695652173917, 'width': 177.25217391304352}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljapynp700803n6ln0u4afvp,9273,front,,Abnormal Gait,style,"{'top': 26.982608695652175, 'left': 531.8869565217391, 'height': 432.74782608695654, 'width': 177.80869565217392}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
