seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaq0nri00883n6l3raldiuo,9871,front,,Abnormal Gait,style,"{'top': 40.0, 'left': 596.0, 'height': 374.0, 'width': 140.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq0nri00883n6l3raldiuo,9872,front,,Abnormal Gait,style,"{'top': 39.28, 'left': 595.6, 'height': 375.88, 'width': 141.91999999999996}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq0nri00883n6l3raldiuo,9873,front,,Abnormal Gait,style,"{'top': 38.56, 'left': 595.2, 'height': 377.76, 'width': 143.83999999999992}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq0nri00883n6l3raldiuo,9874,front,,Abnormal Gait,style,"{'top': 37.84, 'left': 594.8, 'height': 379.64, 'width': 145.76}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq0nri00883n6l3raldiuo,9875,front,,Abnormal Gait,style,"{'top': 37.12, 'left': 594.4, 'height': 381.52, 'width': 147.68000000000006}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq0nri00883n6l3raldiuo,9876,front,,Abnormal Gait,style,"{'top': 36.4, 'left': 594.0, 'height': 383.40000000000003, 'width': 149.60000000000002}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq0nri00883n6l3raldiuo,9877,front,,Abnormal Gait,style,"{'top': 35.68, 'left': 593.6, 'height': 385.28, 'width': 151.51999999999998}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq0nri00883n6l3raldiuo,9878,front,,Abnormal Gait,style,"{'top': 34.96, 'left': 593.2, 'height': 387.16, 'width': 153.43999999999994}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq0nri00883n6l3raldiuo,9879,front,,Abnormal Gait,style,"{'top': 34.24, 'left': 592.8, 'height': 389.03999999999996, 'width': 155.36}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq0nri00883n6l3raldiuo,9880,front,,Abnormal Gait,style,"{'top': 33.52, 'left': 592.4, 'height': 390.92, 'width': 157.27999999999997}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
