seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaq18rc008c3n6l6c3135e0,10292,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 495.0, 'height': 630.0, 'width': 267.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10293,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 496.60869565217394, 'height': 628.6086956521739, 'width': 266.1739130434782}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10294,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 498.2173913043478, 'height': 627.2173913043479, 'width': 265.34782608695656}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10295,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 499.82608695652175, 'height': 625.8260869565217, 'width': 264.52173913043475}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10296,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 501.4347826086956, 'height': 624.4347826086956, 'width': 263.6956521739131}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10297,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 503.04347826086956, 'height': 623.0434782608696, 'width': 262.8695652173913}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10298,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 504.6521739130435, 'height': 621.6521739130435, 'width': 262.0434782608695}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10299,back,Right initial contact,Abnormal Gait,style,"{'top': 0.0, 'left': 506.2608695652174, 'height': 620.2608695652174, 'width': 261.21739130434787}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10300,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 507.8695652173913, 'height': 618.8695652173913, 'width': 260.39130434782606}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10301,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 509.47826086956525, 'height': 617.4782608695652, 'width': 259.5652173913044}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10302,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 511.0869565217391, 'height': 616.0869565217391, 'width': 258.7391304347826}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10303,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 512.695652173913, 'height': 614.695652173913, 'width': 257.9130434782609}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10304,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 514.304347826087, 'height': 613.304347826087, 'width': 257.0869565217391}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10305,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 515.9130434782609, 'height': 611.9130434782609, 'width': 256.2608695652174}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq18rc008c3n6l6c3135e0,10306,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 517.5217391304348, 'height': 610.5217391304348, 'width': 255.43478260869563}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
