seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljaq4pam008s3n6liq2iebvy,11795,back,,Abnormal Gait,style,"{'top': 0.0, 'left': 454.0, 'height': 650.0, 'width': 349.0}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11796,back,,Abnormal Gait,style,"{'top': 0.058823529411764004, 'left': 454.52941176470586, 'height': 648.3725490196078, 'width': 347.9019607843137}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11797,back,,Abnormal Gait,style,"{'top': 0.11764705882352901, 'left': 455.05882352941177, 'height': 646.7450980392157, 'width': 346.80392156862746}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11798,back,,Abnormal Gait,style,"{'top': 0.17647058823529402, 'left': 455.5882352941176, 'height': 645.1176470588235, 'width': 345.70588235294116}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11799,back,,Abnormal Gait,style,"{'top': 0.23529411764705802, 'left': 456.11764705882354, 'height': 643.4901960784314, 'width': 344.6078431372549}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11800,back,Right initial contact,Abnormal Gait,style,"{'top': 0.29411764705882304, 'left': 456.6470588235294, 'height': 641.8627450980392, 'width': 343.5098039215686}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11801,back,,Abnormal Gait,style,"{'top': 0.35294117647058804, 'left': 457.1764705882353, 'height': 640.2352941176471, 'width': 342.4117647058824}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11802,back,,Abnormal Gait,style,"{'top': 0.41176470588235303, 'left': 457.70588235294116, 'height': 638.6078431372549, 'width': 341.3137254901961}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11803,back,,Abnormal Gait,style,"{'top': 0.47058823529411703, 'left': 458.2352941176471, 'height': 636.9803921568628, 'width': 340.21568627450984}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11804,back,,Abnormal Gait,style,"{'top': 0.529411764705882, 'left': 458.7647058823529, 'height': 635.3529411764706, 'width': 339.11764705882354}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11805,back,,Abnormal Gait,style,"{'top': 0.5882352941176471, 'left': 459.29411764705884, 'height': 633.7254901960785, 'width': 338.0196078431373}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11806,back,,Abnormal Gait,style,"{'top': 0.647058823529411, 'left': 459.8235294117647, 'height': 632.0980392156863, 'width': 336.921568627451}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11807,back,,Abnormal Gait,style,"{'top': 0.7058823529411761, 'left': 460.3529411764706, 'height': 630.470588235294, 'width': 335.82352941176464}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11808,back,,Abnormal Gait,style,"{'top': 0.764705882352941, 'left': 460.88235294117646, 'height': 628.843137254902, 'width': 334.72549019607845}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11809,back,,Abnormal Gait,style,"{'top': 0.8235294117647061, 'left': 461.4117647058824, 'height': 627.2156862745097, 'width': 333.6274509803921}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11810,back,,Abnormal Gait,style,"{'top': 0.8823529411764701, 'left': 461.94117647058823, 'height': 625.5882352941177, 'width': 332.5294117647059}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
cljaq4pam008s3n6liq2iebvy,11811,back,,Abnormal Gait,style,"{'top': 0.9411764705882351, 'left': 462.47058823529414, 'height': 623.9607843137254, 'width': 331.43137254901956}","{'height': 720, 'width': 1280, 'mime_type': 'video/mp4'}",jzkn287X-84,https://www.youtube.com/watch?v=jzkn287X-84
