seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr3kiht001i3n6l4jq31vhh,447,left side,,Abnormal Gait,style,"{'top': 75.0, 'left': 725.0, 'height': 381.0, 'width': 129.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,448,left side,,Abnormal Gait,style,"{'top': 75.33333333333333, 'left': 722.6666666666666, 'height': 381.0, 'width': 130.33333333333337}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,449,left side,,Abnormal Gait,style,"{'top': 75.66666666666667, 'left': 720.3333333333334, 'height': 381.0, 'width': 131.66666666666663}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,450,left side,,Abnormal Gait,style,"{'top': 76.0, 'left': 718.0, 'height': 381.0, 'width': 133.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,451,left side,,Abnormal Gait,style,"{'top': 75.71428571428571, 'left': 701.1428571428571, 'height': 381.0, 'width': 139.71428571428578}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,452,left side,,Abnormal Gait,style,"{'top': 75.42857142857143, 'left': 684.2857142857143, 'height': 381.0, 'width': 146.42857142857133}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,453,left side,,Abnormal Gait,style,"{'top': 75.14285714285714, 'left': 667.4285714285714, 'height': 381.0, 'width': 153.1428571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,454,left side,,Abnormal Gait,style,"{'top': 74.85714285714286, 'left': 650.5714285714286, 'height': 381.0, 'width': 159.8571428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,455,left side,,Abnormal Gait,style,"{'top': 74.57142857142857, 'left': 633.7142857142857, 'height': 381.0, 'width': 166.57142857142867}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,456,left side,,Abnormal Gait,style,"{'top': 74.28571428571429, 'left': 616.8571428571429, 'height': 381.0, 'width': 173.28571428571422}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,457,left side,,Abnormal Gait,style,"{'top': 74.0, 'left': 600.0, 'height': 381.0, 'width': 180.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,458,left side,,Abnormal Gait,style,"{'top': 74.0, 'left': 583.0, 'height': 381.0, 'width': 165.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,459,left side,,Abnormal Gait,style,"{'top': 70.0, 'left': 554.0, 'height': 381.0, 'width': 173.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,460,left side,,Abnormal Gait,style,"{'top': 64.66666666666667, 'left': 540.3333333333334, 'height': 386.0, 'width': 185.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,461,left side,,Abnormal Gait,style,"{'top': 59.333333333333336, 'left': 526.6666666666666, 'height': 391.0, 'width': 197.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,462,left side,,Abnormal Gait,style,"{'top': 54.0, 'left': 513.0, 'height': 396.0, 'width': 209.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,463,left side,,Abnormal Gait,style,"{'top': 54.0625, 'left': 497.0625, 'height': 395.5625, 'width': 207.8125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,464,left side,,Abnormal Gait,style,"{'top': 54.125, 'left': 481.125, 'height': 395.125, 'width': 206.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,465,left side,,Abnormal Gait,style,"{'top': 54.1875, 'left': 465.1875, 'height': 394.6875, 'width': 205.4375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,466,left side,,Abnormal Gait,style,"{'top': 54.25, 'left': 449.25, 'height': 394.25, 'width': 204.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,467,left side,,Abnormal Gait,style,"{'top': 54.3125, 'left': 433.3125, 'height': 393.8125, 'width': 203.0625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,468,left side,,Abnormal Gait,style,"{'top': 54.375, 'left': 417.375, 'height': 393.375, 'width': 201.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,469,left side,,Abnormal Gait,style,"{'top': 54.4375, 'left': 401.4375, 'height': 392.9375, 'width': 200.6875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,470,left side,,Abnormal Gait,style,"{'top': 54.5, 'left': 385.5, 'height': 392.5, 'width': 199.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,471,left side,,Abnormal Gait,style,"{'top': 54.5625, 'left': 369.5625, 'height': 392.0625, 'width': 198.3125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,472,left side,,Abnormal Gait,style,"{'top': 54.625, 'left': 353.625, 'height': 391.625, 'width': 197.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,473,left side,,Abnormal Gait,style,"{'top': 54.6875, 'left': 337.6875, 'height': 391.1875, 'width': 195.9375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,474,left side,,Abnormal Gait,style,"{'top': 54.75, 'left': 321.75, 'height': 390.75, 'width': 194.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,475,left side,,Abnormal Gait,style,"{'top': 54.8125, 'left': 305.8125, 'height': 390.3125, 'width': 193.5625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,476,left side,,Abnormal Gait,style,"{'top': 54.875, 'left': 289.875, 'height': 389.875, 'width': 192.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,477,left side,,Abnormal Gait,style,"{'top': 54.9375, 'left': 273.9375, 'height': 389.4375, 'width': 191.1875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,478,left side,,Abnormal Gait,style,"{'top': 55.0, 'left': 258.0, 'height': 389.0, 'width': 190.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,479,left side,,Abnormal Gait,style,"{'top': 55.333333333333336, 'left': 246.25, 'height': 389.0, 'width': 192.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,480,left side,,Abnormal Gait,style,"{'top': 55.666666666666664, 'left': 234.5, 'height': 389.0, 'width': 195.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,481,left side,,Abnormal Gait,style,"{'top': 56.0, 'left': 222.75, 'height': 389.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3kiht001i3n6l4jq31vhh,482,left side,,Abnormal Gait,style,"{'top': 56.333333333333336, 'left': 211.0, 'height': 389.0, 'width': 200.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
