seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr3qjx300233n6ltiah1f9z,1058,right side,,Abnormal Gait,style,"{'top': 66.0, 'left': 680.0, 'height': 390.0, 'width': 126.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1059,right side,,Abnormal Gait,style,"{'top': 66.0, 'left': 667.0, 'height': 390.0, 'width': 134.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1060,right side,,Abnormal Gait,style,"{'top': 66.0, 'left': 654.0, 'height': 390.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1061,right side,,Abnormal Gait,style,"{'top': 66.0, 'left': 639.5, 'height': 390.0, 'width': 160.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1062,right side,,Abnormal Gait,style,"{'top': 66.0, 'left': 625.0, 'height': 390.0, 'width': 178.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1063,right side,,Abnormal Gait,style,"{'top': 66.0, 'left': 620.0, 'height': 390.0, 'width': 179.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1064,right side,,Abnormal Gait,style,"{'top': 66.0, 'left': 615.0, 'height': 390.0, 'width': 181.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1065,right side,,Abnormal Gait,style,"{'top': 66.0, 'left': 610.0, 'height': 390.0, 'width': 183.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1066,right side,,Abnormal Gait,style,"{'top': 66.0, 'left': 605.0, 'height': 390.0, 'width': 185.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1067,right side,,Abnormal Gait,style,"{'top': 65.92307692307692, 'left': 597.8461538461538, 'height': 390.0, 'width': 186.76923076923083}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1068,right side,,Abnormal Gait,style,"{'top': 65.84615384615384, 'left': 590.6923076923077, 'height': 390.0, 'width': 188.53846153846155}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1069,right side,,Abnormal Gait,style,"{'top': 65.76923076923077, 'left': 583.5384615384615, 'height': 390.0, 'width': 190.30769230769226}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1070,right side,,Abnormal Gait,style,"{'top': 65.6923076923077, 'left': 576.3846153846154, 'height': 390.0, 'width': 192.0769230769231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1071,right side,,Abnormal Gait,style,"{'top': 65.61538461538461, 'left': 569.2307692307693, 'height': 390.0, 'width': 193.8461538461538}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1072,right side,,Abnormal Gait,style,"{'top': 65.53846153846153, 'left': 562.0769230769231, 'height': 390.0, 'width': 195.61538461538464}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1073,right side,,Abnormal Gait,style,"{'top': 65.46153846153847, 'left': 554.9230769230769, 'height': 390.0, 'width': 197.38461538461536}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1074,right side,,Abnormal Gait,style,"{'top': 65.38461538461539, 'left': 547.7692307692307, 'height': 390.0, 'width': 199.1538461538462}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1075,right side,,Abnormal Gait,style,"{'top': 65.3076923076923, 'left': 540.6153846153846, 'height': 390.0, 'width': 200.9230769230769}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1076,right side,,Abnormal Gait,style,"{'top': 65.23076923076923, 'left': 533.4615384615385, 'height': 390.0, 'width': 202.69230769230774}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1077,right side,,Abnormal Gait,style,"{'top': 65.15384615384616, 'left': 526.3076923076923, 'height': 390.0, 'width': 204.46153846153845}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3qjx300233n6ltiah1f9z,1078,right side,,Abnormal Gait,style,"{'top': 65.07692307692308, 'left': 519.1538461538462, 'height': 390.0, 'width': 206.23076923076917}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
