seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr3woy9002n3n6lh2dqz6hk,2601,left side,,Abnormal Gait,style,"{'top': 120.0, 'left': 704.0, 'height': 341.0, 'width': 150.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3woy9002n3n6lh2dqz6hk,2602,left side,,Abnormal Gait,style,"{'top': 119.75, 'left': 696.25, 'height': 341.0, 'width': 157.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3woy9002n3n6lh2dqz6hk,2603,left side,,Abnormal Gait,style,"{'top': 119.5, 'left': 688.5, 'height': 341.0, 'width': 165.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3woy9002n3n6lh2dqz6hk,2604,left side,,Abnormal Gait,style,"{'top': 119.25, 'left': 680.75, 'height': 341.0, 'width': 173.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3woy9002n3n6lh2dqz6hk,2605,left side,,Abnormal Gait,style,"{'top': 119.0, 'left': 673.0, 'height': 341.0, 'width': 181.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3woy9002n3n6lh2dqz6hk,2606,left side,,Abnormal Gait,style,"{'top': 118.85, 'left': 663.65, 'height': 341.0, 'width': 181.05000000000007}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3woy9002n3n6lh2dqz6hk,2607,left side,,Abnormal Gait,style,"{'top': 118.7, 'left': 654.3, 'height': 341.0, 'width': 181.10000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3woy9002n3n6lh2dqz6hk,2608,left side,,Abnormal Gait,style,"{'top': 118.55, 'left': 644.95, 'height': 341.0, 'width': 181.14999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3woy9002n3n6lh2dqz6hk,2609,left side,,Abnormal Gait,style,"{'top': 118.4, 'left': 635.6, 'height': 341.0, 'width': 181.19999999999993}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3woy9002n3n6lh2dqz6hk,2610,left side,,Abnormal Gait,style,"{'top': 118.25, 'left': 626.25, 'height': 341.0, 'width': 181.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
