seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr3yz5f002v3n6lcvv0x2kh,3234,right side,,Abnormal Gait,style,"{'top': 97.0, 'left': 0.0, 'height': 364.0, 'width': 97.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3235,right side,,Abnormal Gait,style,"{'top': 97.33333333333333, 'left': 0.33333333333333304, 'height': 364.0, 'width': 104.33333333333334}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3236,right side,,Abnormal Gait,style,"{'top': 97.66666666666667, 'left': 0.6666666666666661, 'height': 364.0, 'width': 111.66666666666666}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3237,right side,,Abnormal Gait,style,"{'top': 98.0, 'left': 1.0, 'height': 364.0, 'width': 119.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3238,right side,,Abnormal Gait,style,"{'top': 98.33333333333333, 'left': 1.333333333333333, 'height': 364.0, 'width': 126.33333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3239,right side,,Abnormal Gait,style,"{'top': 98.66666666666667, 'left': 1.666666666666666, 'height': 364.0, 'width': 133.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3240,right side,,Abnormal Gait,style,"{'top': 99.0, 'left': 2.0, 'height': 364.0, 'width': 141.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3241,right side,,Abnormal Gait,style,"{'top': 99.0, 'left': 12.0, 'height': 364.0, 'width': 144.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3242,right side,,Abnormal Gait,style,"{'top': 99.0, 'left': 22.0, 'height': 364.0, 'width': 148.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3243,right side,,Abnormal Gait,style,"{'top': 99.2, 'left': 32.2, 'height': 364.0, 'width': 151.60000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3244,right side,,Abnormal Gait,style,"{'top': 99.4, 'left': 42.400000000000006, 'height': 364.0, 'width': 155.2}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3245,right side,,Abnormal Gait,style,"{'top': 99.6, 'left': 52.599999999999994, 'height': 364.0, 'width': 158.8}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3246,right side,,Abnormal Gait,style,"{'top': 99.8, 'left': 62.800000000000004, 'height': 364.0, 'width': 162.39999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3247,right side,,Abnormal Gait,style,"{'top': 100.0, 'left': 73.0, 'height': 364.0, 'width': 166.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3248,right side,,Abnormal Gait,style,"{'top': 100.0, 'left': 75.0, 'height': 364.0, 'width': 199.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3249,right side,,Abnormal Gait,style,"{'top': 100.33333333333333, 'left': 77.66666666666667, 'height': 364.0, 'width': 197.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3250,right side,,Abnormal Gait,style,"{'top': 100.66666666666667, 'left': 80.33333333333333, 'height': 364.0, 'width': 195.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3251,right side,,Abnormal Gait,style,"{'top': 101.0, 'left': 83.0, 'height': 364.0, 'width': 193.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3252,right side,,Abnormal Gait,style,"{'top': 101.125, 'left': 93.625, 'height': 364.0, 'width': 196.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3253,right side,,Abnormal Gait,style,"{'top': 101.25, 'left': 104.25, 'height': 364.0, 'width': 200.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3254,right side,,Abnormal Gait,style,"{'top': 101.375, 'left': 114.875, 'height': 364.0, 'width': 203.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr3yz5f002v3n6lcvv0x2kh,3255,right side,,Abnormal Gait,style,"{'top': 101.5, 'left': 125.5, 'height': 364.0, 'width': 207.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
