seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr42eoh003b3n6lo0fmcy5k,3631,left side,,Abnormal Gait,style,"{'top': 130.0, 'left': 713.0, 'height': 338.0, 'width': 141.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3632,left side,,Abnormal Gait,style,"{'top': 129.75, 'left': 713.75, 'height': 338.25, 'width': 140.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3633,left side,,Abnormal Gait,style,"{'top': 129.5, 'left': 714.5, 'height': 338.5, 'width': 139.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3634,left side,,Abnormal Gait,style,"{'top': 129.25, 'left': 715.25, 'height': 338.75, 'width': 138.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3635,left side,,Abnormal Gait,style,"{'top': 129.0, 'left': 716.0, 'height': 339.0, 'width': 138.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3636,left side,,Abnormal Gait,style,"{'top': 128.5, 'left': 702.1666666666666, 'height': 339.1666666666667, 'width': 145.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3637,left side,,Abnormal Gait,style,"{'top': 128.0, 'left': 688.3333333333334, 'height': 339.3333333333333, 'width': 153.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3638,left side,,Abnormal Gait,style,"{'top': 127.5, 'left': 674.5, 'height': 339.5, 'width': 160.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3639,left side,,Abnormal Gait,style,"{'top': 127.0, 'left': 660.6666666666666, 'height': 339.6666666666667, 'width': 168.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3640,left side,,Abnormal Gait,style,"{'top': 126.5, 'left': 646.8333333333334, 'height': 339.8333333333333, 'width': 175.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3641,left side,,Abnormal Gait,style,"{'top': 126.0, 'left': 633.0, 'height': 340.0, 'width': 183.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3642,left side,,Abnormal Gait,style,"{'top': 125.33333333333333, 'left': 626.6666666666666, 'height': 340.33333333333337, 'width': 184.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3643,left side,,Abnormal Gait,style,"{'top': 124.66666666666667, 'left': 620.3333333333334, 'height': 340.66666666666663, 'width': 185.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3644,left side,,Abnormal Gait,style,"{'top': 124.0, 'left': 614.0, 'height': 341.0, 'width': 186.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3645,left side,,Abnormal Gait,style,"{'top': 123.33333333333333, 'left': 607.6666666666666, 'height': 341.33333333333337, 'width': 187.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3646,left side,,Abnormal Gait,style,"{'top': 122.66666666666667, 'left': 601.3333333333334, 'height': 341.66666666666663, 'width': 188.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3647,left side,,Abnormal Gait,style,"{'top': 122.0, 'left': 595.0, 'height': 342.0, 'width': 189.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3648,left side,,Abnormal Gait,style,"{'top': 121.5, 'left': 580.0, 'height': 342.0, 'width': 202.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3649,left side,,Abnormal Gait,style,"{'top': 121.0, 'left': 565.0, 'height': 342.0, 'width': 215.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3650,left side,,Abnormal Gait,style,"{'top': 121.66666666666667, 'left': 568.3333333333334, 'height': 342.3333333333333, 'width': 212.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3651,left side,,Abnormal Gait,style,"{'top': 122.33333333333333, 'left': 571.6666666666666, 'height': 342.6666666666667, 'width': 209.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3652,left side,,Abnormal Gait,style,"{'top': 123.0, 'left': 575.0, 'height': 343.0, 'width': 206.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3653,left side,,Abnormal Gait,style,"{'top': 123.0, 'left': 571.0, 'height': 343.0, 'width': 203.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3654,left side,,Abnormal Gait,style,"{'top': 123.0, 'left': 567.0, 'height': 343.0, 'width': 200.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3655,left side,,Abnormal Gait,style,"{'top': 122.28571428571429, 'left': 549.8571428571429, 'height': 343.14285714285717, 'width': 202.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3656,left side,,Abnormal Gait,style,"{'top': 121.57142857142857, 'left': 532.7142857142857, 'height': 343.2857142857143, 'width': 204.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3657,left side,,Abnormal Gait,style,"{'top': 120.85714285714286, 'left': 515.5714285714286, 'height': 343.42857142857144, 'width': 206.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3658,left side,,Abnormal Gait,style,"{'top': 120.14285714285714, 'left': 498.42857142857144, 'height': 343.57142857142856, 'width': 208.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
cljr42eoh003b3n6lo0fmcy5k,3659,left side,,Abnormal Gait,style,"{'top': 119.42857142857143, 'left': 481.2857142857143, 'height': 343.7142857142857, 'width': 209.99999999999994}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7nIQv3K_-Qc,https://www.youtube.com/watch?v=7nIQv3K_-Qc
