seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljvvvetj000b3n6lqxrqgm3o,1,back,,Abnormal Gait,inebriated,"{'top': 80.0, 'left': 65.0, 'height': 132.0, 'width': 52.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,2,back,,Abnormal Gait,inebriated,"{'top': 80.0, 'left': 65.25, 'height': 136.75, 'width': 53.75}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,3,back,,Abnormal Gait,inebriated,"{'top': 80.0, 'left': 65.5, 'height': 141.5, 'width': 55.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,4,back,,Abnormal Gait,inebriated,"{'top': 80.0, 'left': 65.75, 'height': 146.25, 'width': 57.25}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,5,back,,Abnormal Gait,inebriated,"{'top': 80.0, 'left': 66.0, 'height': 151.0, 'width': 59.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,6,back,,Abnormal Gait,inebriated,"{'top': 80.0, 'left': 67.8, 'height': 150.8, 'width': 59.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,7,back,,Abnormal Gait,inebriated,"{'top': 80.0, 'left': 69.6, 'height': 150.6, 'width': 59.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,8,back,,Abnormal Gait,inebriated,"{'top': 80.0, 'left': 71.4, 'height': 150.4, 'width': 59.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,9,back,,Abnormal Gait,inebriated,"{'top': 80.0, 'left': 73.2, 'height': 150.2, 'width': 58.999999999999986}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,10,back,,Abnormal Gait,inebriated,"{'top': 80.0, 'left': 75.0, 'height': 150.0, 'width': 59.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,11,back,,Abnormal Gait,inebriated,"{'top': 72.66666666666667, 'left': 81.0, 'height': 149.66666666666669, 'width': 59.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
cljvvvetj000b3n6lqxrqgm3o,12,back,,Abnormal Gait,inebriated,"{'top': 65.33333333333333, 'left': 87.0, 'height': 149.33333333333331, 'width': 59.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",31S0vrtWjCc,https://www.youtube.com/watch?v=31S0vrtWjCc
