sequence_id,clip_id,youtube_video_id,frames,pose_frame_coverage,neuro_observed,fps,path,status
aug--0wbleNgAwg-w00,-0wbleNgAwg,-0wbleNgAwg,310,1.0,0.9651612903225807,29.888522899107947,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug--0wbleNgAwg-w00.npz,extracted
aug-3FXUw98rrUY-w00,3FXUw98rrUY,3FXUw98rrUY,30,1.0,1.0,23.976023976023978,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-3FXUw98rrUY-w00.npz,extracted
aug-DfRhvdCiUJk-w00,DfRhvdCiUJk,DfRhvdCiUJk,100,0.92,0.893,30.0,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-DfRhvdCiUJk-w00.npz,extracted
aug-EHymg4AGMJs_clip-01-w00,EHymg4AGMJs_clip-01,EHymg4AGMJs,140,0.9928571428571429,0.9928571428571429,24.942940716021916,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-01-w00.npz,extracted
aug-EHymg4AGMJs_clip-01-w01,EHymg4AGMJs_clip-01,EHymg4AGMJs,140,1.0,1.0,24.942940716021916,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-01-w01.npz,extracted
aug-EHymg4AGMJs_clip-01-w02,EHymg4AGMJs_clip-01,EHymg4AGMJs,140,1.0,1.0,24.942940716021916,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-01-w02.npz,extracted
aug-EHymg4AGMJs_clip-01-w03,EHymg4AGMJs_clip-01,EHymg4AGMJs,140,1.0,0.9921428571428571,24.942940716021916,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-01-w03.npz,extracted
aug-EHymg4AGMJs_clip-01-w04,EHymg4AGMJs_clip-01,EHymg4AGMJs,140,1.0,0.9935714285714285,24.942940716021916,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-01-w04.npz,extracted
aug-EHymg4AGMJs_clip-01-w05,EHymg4AGMJs_clip-01,EHymg4AGMJs,114,1.0,0.9929824561403509,24.942940716021916,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-01-w05.npz,extracted
aug-EHymg4AGMJs_clip-02-w00,EHymg4AGMJs_clip-02,EHymg4AGMJs,44,1.0,0.9227272727272727,24.937008078551575,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-02-w00.npz,extracted
aug-EHymg4AGMJs_clip-02-w01,EHymg4AGMJs_clip-02,EHymg4AGMJs,44,0.9772727272727273,0.9772727272727273,24.937008078551575,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-02-w01.npz,extracted
aug-EHymg4AGMJs_clip-02-w02,EHymg4AGMJs_clip-02,EHymg4AGMJs,44,0.9545454545454546,0.9545454545454546,24.937008078551575,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-02-w02.npz,extracted
aug-EHymg4AGMJs_clip-02-w03,EHymg4AGMJs_clip-02,EHymg4AGMJs,44,1.0,1.0,24.937008078551575,/Users/pmui/dev/alexpose/penny/gavd3/cache/artifacts/real/poses_augmented/normal/aug-EHymg4AGMJs_clip-02-w03.npz,extracted
