condition,video_id,url,required_last_frame,status,format_id,format_note,download_fps,download_width,download_height,ok,fps,frames,reaches_annotation,size_mb
cerebralpalsy,DlPDuHBAP7A,https://www.youtube.com/watch?v=DlPDuHBAP7A,2974,cached,18,360p,30.0,640,360,True,29.97002997002997,3572,True,5.511548
cerebralpalsy,wRntYsztIEY,https://www.youtube.com/watch?v=wRntYsztIEY,3891,cached,18,360p,30.0,640,360,True,30.0,4193,True,6.235969
myopathic,05oyBOE_0UE,https://www.youtube.com/watch?v=05oyBOE_0UE,4213,cached,18,360p,30.0,640,360,True,29.97002997002997,5981,True,9.774748
myopathic,4Yiqk-ud8rI,https://www.youtube.com/watch?v=4Yiqk-ud8rI,649,cached,18,360p,30.0,640,360,True,30.0,1509,True,2.644798
myopathic,5qM6wxZ_dNs,https://www.youtube.com/watch?v=5qM6wxZ_dNs,1709,cached,18,360p,30.0,640,360,True,30.0,1906,True,3.376793
myopathic,7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM,828,cached,96,,24.0,1920,1080,True,23.97603353773314,835,True,8.185898
myopathic,8NlJgIySMG0,https://www.youtube.com/watch?v=8NlJgIySMG0,1022,cached,18,240p,30.0,202,360,True,30.0,1022,True,1.011996
myopathic,8PPLTf0fZsY,https://www.youtube.com/watch?v=8PPLTf0fZsY,493,cached,18,360p,30.0,480,360,True,30.0,506,True,0.705329
myopathic,9qg-3smwLcs,https://www.youtube.com/watch?v=9qg-3smwLcs,2321,cached,18,360p,30.0,640,360,True,29.97002997002997,2421,True,5.934015
myopathic,HDkWDe6FZDg,https://www.youtube.com/watch?v=HDkWDe6FZDg,677,cached,18,360p,30.0,480,360,True,30.0,922,True,1.222094
myopathic,R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8,2648,cached,18,360p,30.0,640,360,True,29.97002997002997,2650,True,5.23156
myopathic,jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo,1108,cached,18,360p,30.0,640,360,True,30.0,1299,True,2.592329
normal,3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE,16302,cached,18,360p,30.0,494,360,True,29.97002997002997,16345,True,19.926123
parkinsons,B5hrxKe2nP8,https://www.youtube.com/watch?v=B5hrxKe2nP8,2746,cached,95,,30.0,1280,720,True,30.0,6176,True,12.500625
parkinsons,_Wn9oYGpRdM,https://www.youtube.com/watch?v=_Wn9oYGpRdM,1886,cached,18,360p,30.0,482,360,True,29.97002997002997,4040,True,6.301412
stroke,5gpoegYv1hs,https://www.youtube.com/watch?v=5gpoegYv1hs,4332,cached,95,,24.0,1280,720,True,23.976025046986326,4473,True,27.781818
stroke,8mTHlAIdea0,https://www.youtube.com/watch?v=8mTHlAIdea0,1979,cached,18,360p,30.0,480,360,True,29.97002997002997,2875,True,5.994075
stroke,9VzOTO0nV8U,https://www.youtube.com/watch?v=9VzOTO0nV8U,166,downloaded,18,360p,30.0,640,360,True,29.97,628,True,1.804868
