seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url,youtube_video_id
aug-FTHc-TJOQ34-w00,1,right side,,Abnormal Gait,normal,"{'top': 0.0, 'left': 1199.858642578125, 'height': 1080.0, 'width': 373.9953308105469}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,FTHc-TJOQ34
aug-FTHc-TJOQ34-w00,2,right side,,Abnormal Gait,normal,"{'top': 0.0, 'left': 1200.641357421875, 'height': 1080.0, 'width': 373.3858642578125}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,FTHc-TJOQ34
aug-FTHc-TJOQ34-w00,3,right side,,Abnormal Gait,normal,"{'top': 0.0, 'left': 1201.4239501953125, 'height': 1080.0, 'width': 372.77642822265625}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,FTHc-TJOQ34
aug-FTHc-TJOQ34-w00,4,right side,,Abnormal Gait,normal,"{'top': 0.0, 'left': 1202.8116455078125, 'height': 1080.0, 'width': 364.49114990234375}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,FTHc-TJOQ34
aug-FTHc-TJOQ34-w00,5,right side,,Abnormal Gait,normal,"{'top': 0.0, 'left': 1202.8116455078125, 'height': 1080.0, 'width': 357.5958251953125}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,FTHc-TJOQ34
aug-FTHc-TJOQ34-w00,6,right side,,Abnormal Gait,normal,"{'top': 0.0, 'left': 1204.3890380859375, 'height': 1080.0, 'width': 354.9277648925781}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,FTHc-TJOQ34
aug-FTHc-TJOQ34-w00,7,right side,,Abnormal Gait,normal,"{'top': 0.0, 'left': 1202.8116455078125, 'height': 1080.0, 'width': 341.6003723144531}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,FTHc-TJOQ34
aug-FTHc-TJOQ34-w00,8,right side,,Abnormal Gait,normal,"{'top': 0.0, 'left': 1202.8116455078125, 'height': 1080.0, 'width': 337.54931640625}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,FTHc-TJOQ34
aug-FTHc-TJOQ34-w00,9,right side,,Abnormal Gait,normal,"{'top': 0.0, 'left': 1202.4754638671875, 'height': 1080.0, 'width': 336.9722900390625}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,FTHc-TJOQ34
aug-FTHc-TJOQ34-w00,10,right side,,Abnormal Gait,normal,"{'top': 0.0, 'left': 1205.985595703125, 'height': 1080.0, 'width': 332.0606384277344}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",FTHc-TJOQ34,https://www.youtube.com/watch?v=FTHc-TJOQ34,FTHc-TJOQ34
