seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url,youtube_video_id
aug-diCVwltkV5M-w00,1,left side,,Abnormal Gait,normal,"{'top': 58.020259857177734, 'left': 118.41304016113281, 'height': 181.979736328125, 'width': 64.19632720947266}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,2,left side,,Abnormal Gait,normal,"{'top': 58.09941864013672, 'left': 117.18873596191406, 'height': 181.90057373046875, 'width': 64.90629577636719}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,3,left side,,Abnormal Gait,normal,"{'top': 58.17858123779297, 'left': 118.41304016113281, 'height': 181.8214111328125, 'width': 65.61625671386719}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,4,left side,,Abnormal Gait,normal,"{'top': 58.34187316894531, 'left': 118.41304016113281, 'height': 181.6581268310547, 'width': 65.61625671386719}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,5,left side,,Abnormal Gait,normal,"{'top': 59.40032196044922, 'left': 118.78311920166016, 'height': 180.59967041015625, 'width': 65.61625671386719}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,6,left side,,Abnormal Gait,normal,"{'top': 60.200504302978516, 'left': 123.62574768066406, 'height': 179.79949951171875, 'width': 63.062950134277344}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,7,left side,,Abnormal Gait,normal,"{'top': 61.944313049316406, 'left': 123.62821197509766, 'height': 178.05569458007812, 'width': 62.351715087890625}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,8,left side,,Abnormal Gait,normal,"{'top': 65.7378921508789, 'left': 124.93869018554688, 'height': 174.26211547851562, 'width': 61.08769989013672}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,9,left side,,Abnormal Gait,normal,"{'top': 66.18030548095703, 'left': 125.85616302490234, 'height': 173.8197021484375, 'width': 60.27091598510742}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,10,left side,,Abnormal Gait,normal,"{'top': 66.18030548095703, 'left': 127.67759704589844, 'height': 171.83644104003906, 'width': 56.97903823852539}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,11,left side,,Abnormal Gait,normal,"{'top': 66.4432373046875, 'left': 127.94023132324219, 'height': 165.7469024658203, 'width': 55.730159759521484}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,12,left side,,Abnormal Gait,normal,"{'top': 67.06940460205078, 'left': 127.94023132324219, 'height': 164.18255615234375, 'width': 54.537967681884766}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,13,left side,,Abnormal Gait,normal,"{'top': 67.6359634399414, 'left': 127.94023132324219, 'height': 162.38003540039062, 'width': 47.09442901611328}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,14,left side,,Abnormal Gait,normal,"{'top': 68.40283203125, 'left': 125.28678894042969, 'height': 162.1226043701172, 'width': 45.610496520996094}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,15,left side,,Abnormal Gait,normal,"{'top': 70.77050018310547, 'left': 123.31926727294922, 'height': 160.64535522460938, 'width': 44.642311096191406}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
aug-diCVwltkV5M-w00,16,left side,,Abnormal Gait,normal,"{'top': 72.30149841308594, 'left': 122.10099792480469, 'height': 160.5949249267578, 'width': 44.642311096191406}","{'height': 240, 'width': 320, 'mime_type': 'video/mp4'}",diCVwltkV5M,https://www.youtube.com/watch?v=diCVwltkV5M,diCVwltkV5M
