seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url,youtube_video_id
aug-tUT8Fh1zGKA-w00,1,left side,,Abnormal Gait,normal,"{'top': 47.76673889160156, 'left': 836.1641235351562, 'height': 884.0831298828125, 'width': 324.8559875488281}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,tUT8Fh1zGKA
aug-tUT8Fh1zGKA-w00,2,left side,,Abnormal Gait,normal,"{'top': 42.76621627807617, 'left': 850.860595703125, 'height': 890.87158203125, 'width': 299.3961181640625}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,tUT8Fh1zGKA
aug-tUT8Fh1zGKA-w00,3,left side,,Abnormal Gait,normal,"{'top': 37.76569366455078, 'left': 865.5570068359375, 'height': 890.2605590820312, 'width': 273.936279296875}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,tUT8Fh1zGKA
aug-tUT8Fh1zGKA-w00,4,left side,,Abnormal Gait,normal,"{'top': 36.533592224121094, 'left': 865.5570068359375, 'height': 897.6600952148438, 'width': 273.936279296875}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,tUT8Fh1zGKA
aug-tUT8Fh1zGKA-w00,5,left side,,Abnormal Gait,normal,"{'top': 36.377281188964844, 'left': 904.3580932617188, 'height': 897.6600952148438, 'width': 159.96878051757812}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,tUT8Fh1zGKA
aug-tUT8Fh1zGKA-w00,6,left side,,Abnormal Gait,normal,"{'top': 36.377281188964844, 'left': 904.3580932617188, 'height': 890.2605590820312, 'width': 159.96878051757812}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,tUT8Fh1zGKA
aug-tUT8Fh1zGKA-w00,7,left side,,Abnormal Gait,normal,"{'top': 36.377281188964844, 'left': 904.3580932617188, 'height': 883.6658325195312, 'width': 159.96878051757812}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,tUT8Fh1zGKA
aug-tUT8Fh1zGKA-w00,8,left side,,Abnormal Gait,normal,"{'top': 38.936561584472656, 'left': 820.2074584960938, 'height': 883.4742431640625, 'width': 311.4386901855469}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,tUT8Fh1zGKA
aug-tUT8Fh1zGKA-w00,9,left side,,Abnormal Gait,normal,"{'top': 42.470130920410156, 'left': 771.014892578125, 'height': 873.0841674804688, 'width': 384.1857604980469}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,tUT8Fh1zGKA
aug-tUT8Fh1zGKA-w00,10,left side,,Abnormal Gait,normal,"{'top': 51.297080993652344, 'left': 734.031005859375, 'height': 869.987060546875, 'width': 443.8661804199219}","{'height': 1080, 'width': 1920, 'mime_type': 'video/mp4'}",tUT8Fh1zGKA,https://www.youtube.com/watch?v=tUT8Fh1zGKA,tUT8Fh1zGKA
